System,t,target X,target Y
great-wine-beetle,0.000000,-1.528000,1.637000
great-wine-beetle,0.010000,-1.528000,1.614161
great-wine-beetle,0.020000,-1.528000,1.591321
great-wine-beetle,0.030000,-1.528000,1.568482
great-wine-beetle,0.040000,-1.528000,1.545642
great-wine-beetle,0.050000,-1.528000,1.522803
great-wine-beetle,0.060000,-1.528000,1.499964
great-wine-beetle,0.070000,-1.528000,1.477124
great-wine-beetle,0.080000,-1.528000,1.454285
great-wine-beetle,0.090000,-1.528000,1.431445
great-wine-beetle,0.100000,-1.528000,1.408606
great-wine-beetle,0.110000,-1.528000,1.385766
great-wine-beetle,0.120000,-1.528000,1.362927
great-wine-beetle,0.130000,-1.528000,1.340088
great-wine-beetle,0.140000,-1.528000,1.317248
great-wine-beetle,0.150000,-1.528000,1.294409
great-wine-beetle,0.160000,-1.528000,1.271569
great-wine-beetle,0.170000,-1.528000,1.248730
great-wine-beetle,0.180000,-1.528000,1.225891
great-wine-beetle,0.190000,-1.528000,1.203051
great-wine-beetle,0.200000,-1.528000,1.180212
great-wine-beetle,0.210000,-1.528000,1.157372
great-wine-beetle,0.220000,-1.528000,1.134533
great-wine-beetle,0.230000,-1.528000,1.111693
great-wine-beetle,0.240000,-1.528000,1.088854
great-wine-beetle,0.250000,-1.528000,1.066015
great-wine-beetle,0.260000,-1.528000,1.043175
great-wine-beetle,0.270000,-1.528000,1.020336
great-wine-beetle,0.280000,-1.528000,0.997496
great-wine-beetle,0.290000,-1.528000,0.974657
great-wine-beetle,0.300000,-1.528000,0.951818
great-wine-beetle,0.310000,-1.528000,0.928978
great-wine-beetle,0.320000,-1.528000,0.906139
great-wine-beetle,0.330000,-1.528000,0.883299
great-wine-beetle,0.340000,-1.528000,0.860460
great-wine-beetle,0.350000,-1.528000,0.837620
great-wine-beetle,0.360000,-1.528000,0.814781
great-wine-beetle,0.370000,-1.528000,0.791942
great-wine-beetle,0.380000,-1.528000,0.769102
great-wine-beetle,0.390000,-1.528000,0.746263
great-wine-beetle,0.400000,-1.528000,0.723423
great-wine-beetle,0.410000,-1.528000,0.700584
great-wine-beetle,0.420000,-1.528000,0.677745
great-wine-beetle,0.430000,-1.528000,0.654905
great-wine-beetle,0.440000,-1.528000,0.632066
great-wine-beetle,0.450000,-1.528000,0.609226
great-wine-beetle,0.460000,-1.528000,0.586387
great-wine-beetle,0.470000,-1.528000,0.563547
great-wine-beetle,0.480000,-1.528000,0.540708
great-wine-beetle,0.490000,-1.528000,0.517869
great-wine-beetle,0.500000,-1.528000,0.495029
great-wine-beetle,0.510000,-1.528000,0.472190
great-wine-beetle,0.520000,-1.528000,0.449350
great-wine-beetle,0.530000,-1.528000,0.426511
great-wine-beetle,0.540000,-1.528000,0.403672
great-wine-beetle,0.550000,-1.528000,0.380832
great-wine-beetle,0.560000,-1.528000,0.357993
great-wine-beetle,0.570000,-1.528000,0.335153
great-wine-beetle,0.580000,-1.528000,0.312314
great-wine-beetle,0.590000,-1.528000,0.289474
great-wine-beetle,0.600000,-1.528000,0.266635
great-wine-beetle,0.610000,-1.528000,0.243796
great-wine-beetle,0.620000,-1.528000,0.220956
great-wine-beetle,0.630000,-1.528000,0.198117
great-wine-beetle,0.640000,-1.528000,0.175277
great-wine-beetle,0.650000,-1.528000,0.152438
great-wine-beetle,0.660000,-1.528000,0.129599
great-wine-beetle,0.670000,-1.528000,0.106759
great-wine-beetle,0.680000,-1.528000,0.083920
great-wine-beetle,0.690000,-1.528000,0.061080
great-wine-beetle,0.700000,-1.528000,0.038241
great-wine-beetle,0.710000,-1.528000,0.015401
great-wine-beetle,0.720000,-1.528000,-0.007438
