ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
768851198185754673!,system_07,0.000000,0.001355,,0.015117,0.811294,2.642343,0.025597,0.797569,0.019010,0.528875,0.035842,0.030979,0.015328,0.443420,0.000171,1.326759,0.374722,2.326030,-2.246516,1.318379,0.368494,-1.074148,-0.177707,0.066128,-0.611424
768851198185754673!,system_07,0.260221,-0.006096,,0.134799,0.837682,3.236153,0.368151,0.743220,0.061595,0.010828,0.079106,0.062137,0.031921,-0.009550,0.046831,1.845094,0.563253,2.326030,-2.246516,1.318379,0.368494,-1.074148,-0.177707,0.066128,-0.611424
768851198185754673!,system_07,0.588156,0.106379,,0.018488,0.650700,4.045952,0.564613,0.861184,0.055793,-0.010032,0.062977,0.034945,0.022173,-0.000452,0.201443,2.558847,1.071686,2.326030,-2.246516,1.318379,0.368494,-1.074148,-0.177707,0.066128,-0.611424
768851198185754673!,system_07,1.001427,0.110977,,0.375446,0.629518,4.867005,0.698689,0.869475,0.049651,-0.010236,0.067937,-0.061907,-0.008502,-0.033922,0.324923,3.532182,1.325454,,,,,,,,
768851198185754673!,system_07,1.522239,0.287785,,0.536554,0.382717,5.064244,0.644792,0.760081,0.031625,0.006111,0.068991,0.072209,0.042925,-0.002008,0.406453,3.304318,1.022040,,,,,,,,
768851198185754673!,system_07,2.178578,0.422612,,0.434406,0.253865,4.879306,0.335651,0.390193,0.047848,-0.019167,0.076231,0.179537,0.028369,-0.020191,0.294253,3.254893,1.049987,,,,,,,,
768851198185754673!,system_07,3.005710,0.363036,,0.496379,0.348421,5.105891,0.318642,0.392407,0.024769,-0.002202,0.055217,0.248602,0.034882,-0.010033,0.365657,3.386661,0.891239,,,,,,,,
768851198185754673!,system_07,4.048078,0.334483,,0.390223,0.035433,4.842441,0.307623,0.258036,0.018552,0.010790,0.045692,0.293094,0.064116,0.002514,0.193030,3.258086,0.792473,,,,,,,,
768851198185754673!,system_07,5.361692,0.389963,,0.336006,-0.013172,5.081369,0.327962,0.440851,0.011820,0.001674,0.039905,0.455327,0.052984,-0.012089,0.141262,3.292514,0.867158,,,,,,,,
768851198185754673!,system_07,7.017135,0.476506,,0.240066,0.027509,4.644483,0.161941,0.327963,0.002199,0.004690,0.041795,0.575272,0.034774,0.020005,0.072984,3.358042,0.844120,,,,,,,,
768851198185754673!,system_07,9.103359,0.268256,,0.123377,0.057158,4.703050,0.189283,0.118155,-0.050973,-0.006341,0.042614,0.710254,0.038935,-0.026251,0.036821,3.456234,0.699308,,,,,,,,
768851198185754673!,system_07,11.732462,0.460073,,0.230275,0.165894,5.127654,0.120790,0.201677,0.017415,0.001960,0.015687,0.749739,0.072159,0.001415,0.096084,3.301866,0.684657,,,,,,,,
768851198185754673!,system_07,15.045711,0.327340,,0.148357,0.207885,4.670720,0.012324,0.161889,-0.013752,-0.005933,0.041877,0.648048,0.023216,0.016495,0.020787,3.488583,0.782811,,,,,,,,
768851198185754673!,system_07,19.221135,0.231477,,0.084813,0.132559,5.001553,0.167847,0.107630,0.018713,-0.005475,0.019825,0.513743,0.065563,0.003377,0.070758,3.296483,0.772537,,,,,,,,
768851198185754673!,system_07,24.483092,0.376190,,0.020722,0.031640,4.972893,-0.022437,0.034606,0.004503,0.020041,-0.008067,0.580425,0.086996,-0.011777,0.001190,3.459529,0.744949,,,,,,,,
768851198185754673!,system_07,31.114318,0.683040,,-0.116414,0.076244,4.841639,-0.082219,0.162844,0.016786,0.013861,0.012594,0.345082,0.086462,-0.010199,0.011527,3.668753,0.690634,,,,,,,,
768851198185754673!,system_07,39.471125,0.515616,,-0.047722,0.011322,4.819177,-0.144333,0.071443,-0.007590,0.005464,0.023726,0.160780,0.110145,0.005788,-0.018864,3.420401,0.618833,,,,,,,,
768851198185754673!,system_07,50.002546,0.703034,,-0.009266,-0.029259,4.982795,0.007008,0.043484,-0.006028,-0.003474,0.026661,0.185036,0.056023,0.001868,0.020421,3.183599,0.604407,,,,,,,,
768851198185754673!,system_07,63.274460,0.689559,,0.050691,0.006379,4.811325,0.028398,0.136864,-0.026282,0.008683,0.028537,-0.038403,0.083800,-0.042179,-0.028693,3.092955,0.801858,,,,,,,,
768851198185754673!,system_07,80.000000,0.887380,,-0.102489,0.164992,5.016178,-0.087007,-0.089765,-0.007740,-0.002347,-0.015641,-0.022232,0.102135,-0.007005,0.025634,3.568523,0.818767,,,,,,,,
