ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
2183446987268103479!,system_06,0.000000,0.808223,,0.581440,0.056009,0.694437,0.986145,0.002478,0.321073,0.650782,0.331227,0.450497,0.104724,0.241904,0.626298,0.824728,0.339938,-2.295282,-3.298983,-0.728182,0.433797,2.065394,-2.762019,3.289187,-0.860242
2183446987268103479!,system_06,0.260221,0.941679,,0.547130,0.105889,0.310345,0.942966,-0.009796,0.293845,-0.012052,0.318271,0.341333,0.145936,0.004509,0.565884,0.263591,0.382848,-2.295282,-3.298983,-0.728182,0.433797,2.065394,-2.762019,3.289187,-0.860242
2183446987268103479!,system_06,0.588156,0.841378,,0.464422,0.169850,-0.049895,0.897073,-0.007546,0.254558,0.005853,0.270826,0.613951,0.227583,0.005358,0.404837,-0.002949,0.410068,-2.295282,-3.298983,-0.728182,0.433797,2.065394,-2.762019,3.289187,-0.860242
2183446987268103479!,system_06,1.001427,0.934962,,0.414589,0.275952,0.067618,0.798122,-0.012229,0.117601,-0.001326,0.244471,0.608707,0.224946,0.008695,0.516714,0.040066,0.413818,,,,,,,,
2183446987268103479!,system_06,1.522239,0.854525,,0.339714,0.276937,0.015039,0.752599,0.011045,0.118119,-0.022692,0.148367,0.738216,0.273716,-0.004927,0.355128,0.029753,0.431504,,,,,,,,
2183446987268103479!,system_06,2.178578,0.803498,,0.255957,0.253072,0.014182,0.815544,-0.009221,0.055883,0.010717,0.100076,0.876716,0.324478,-0.000544,0.236329,-0.003616,0.441318,,,,,,,,
2183446987268103479!,system_06,3.005710,0.995109,,0.037284,0.237117,-0.046061,0.796316,0.000759,0.065681,0.078656,0.050787,0.604567,0.342887,-0.000881,0.139238,0.043833,0.351594,,,,,,,,
2183446987268103479!,system_06,4.048078,0.820884,,0.154647,0.248643,-0.026436,0.807996,0.000470,0.045986,0.040188,0.015357,0.615094,0.365812,-0.020336,0.239816,0.055144,0.389815,,,,,,,,
2183446987268103479!,system_06,5.361692,1.140166,,0.150131,0.207091,0.059446,0.780137,-0.013545,-0.031046,0.009053,0.012094,0.867388,0.330854,-0.007311,0.139038,0.080309,0.367425,,,,,,,,
2183446987268103479!,system_06,7.017135,0.982444,,-0.010805,0.196364,-0.000549,0.813321,-0.027048,0.003991,0.053660,-0.027319,0.795763,0.265649,0.002585,0.109016,0.079768,0.383517,,,,,,,,
2183446987268103479!,system_06,9.103359,1.218101,,0.035893,0.165846,-0.017919,0.781780,0.017643,-0.011324,0.112926,0.074252,0.877486,0.365393,0.005018,0.049430,0.080577,0.341725,,,,,,,,
2183446987268103479!,system_06,11.732462,1.132059,,-0.052360,0.164739,-0.069303,0.778770,-0.005558,0.047479,0.131111,0.010662,0.642201,0.302865,0.010610,-0.017636,0.025789,0.270009,,,,,,,,
2183446987268103479!,system_06,15.045711,1.367251,,-0.007897,0.173909,-0.076432,0.732286,-0.002604,-0.075503,0.113942,0.036701,0.660670,0.364580,-0.009051,0.127244,0.118366,0.344009,,,,,,,,
2183446987268103479!,system_06,19.221135,1.227848,,0.007307,0.095407,-0.001615,0.773708,-0.008595,0.015568,0.111215,0.070625,0.527788,0.307214,0.015306,0.142649,0.160466,0.295102,,,,,,,,
2183446987268103479!,system_06,24.483092,1.430729,,-0.007602,0.150856,0.031305,0.788201,-0.025912,0.019609,0.129995,-0.052028,0.281627,0.289211,-0.015604,0.006027,0.127988,0.263042,,,,,,,,
2183446987268103479!,system_06,31.114318,1.372301,,0.063711,0.147685,-0.023332,0.756288,-0.000230,0.021634,0.140810,-0.087765,0.200854,0.278887,-0.014645,0.067301,0.156576,0.346534,,,,,,,,
2183446987268103479!,system_06,39.471125,1.409435,,-0.016890,0.169449,-0.067714,0.806424,-0.000567,0.018767,0.133983,-0.019997,0.161529,0.225033,-0.005146,0.132771,0.184684,0.260294,,,,,,,,
2183446987268103479!,system_06,50.002546,1.440186,,0.050723,0.052207,-0.002825,0.786958,-0.000101,-0.025941,0.157941,-0.002162,0.149499,0.291993,0.005130,-0.022181,0.164792,0.193362,,,,,,,,
2183446987268103479!,system_06,63.274460,1.161806,,-0.080736,0.055847,-0.032999,0.790772,-0.008434,-0.022939,0.161418,0.069831,0.023569,0.311839,-0.004596,0.091173,0.139067,0.249288,,,,,,,,
2183446987268103479!,system_06,80.000000,1.060418,,-0.064452,0.031758,0.097944,0.745226,-0.018989,0.030181,0.162003,-0.042079,0.041328,0.262226,0.008176,0.020027,0.120706,0.148517,,,,,,,,
