ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
1172974788771060063!,system_06,0.000000,0.290297,,0.000768,0.866781,0.621557,0.010738,0.042896,0.487182,0.553755,0.455508,0.023589,0.000115,0.795046,0.224332,0.149066,0.256099,3.468872,1.831029,0.933519,0.226739,-1.420766,0.758278,0.468243,1.398816
1172974788771060063!,system_06,0.260221,0.389423,,0.011248,0.732435,1.508684,0.207965,0.196075,0.835145,1.070184,0.938882,0.054754,0.196243,1.263334,0.269682,0.899677,0.551551,3.468872,1.831029,0.933519,0.226739,-1.420766,0.758278,0.468243,1.398816
1172974788771060063!,system_06,0.588156,0.605349,,0.012704,1.050104,2.135022,0.416594,0.265423,1.236011,1.155835,1.064845,-0.048598,-0.040940,1.195220,0.278283,1.609057,0.867428,3.468872,1.831029,0.933519,0.226739,-1.420766,0.758278,0.468243,1.398816
1172974788771060063!,system_06,1.001427,0.658064,,0.046981,1.258407,2.495134,0.546198,0.428605,1.822245,1.392296,1.113888,-0.025102,0.463976,1.203699,0.324083,1.906710,0.984892,,,,,,,,
1172974788771060063!,system_06,1.522239,1.103481,,0.121400,0.917251,1.998277,0.510081,0.338195,1.606340,0.945923,1.643170,0.063925,1.381401,0.512365,0.437839,1.141695,0.688874,,,,,,,,
1172974788771060063!,system_06,2.178578,1.196513,,0.096371,0.893381,1.462515,0.430779,0.270194,1.058072,0.320243,0.802979,0.028646,1.347994,0.457014,0.500906,1.145551,0.550551,,,,,,,,
1172974788771060063!,system_06,3.005710,1.315846,,0.041253,0.361281,1.407371,0.436416,0.259314,0.753433,0.356613,0.451870,0.074940,2.273485,-0.192371,0.314396,0.890457,0.369579,,,,,,,,
1172974788771060063!,system_06,4.048078,0.996371,,0.091390,0.443310,1.627049,0.301887,0.216232,0.662845,0.414479,0.193548,0.168670,2.166078,0.288362,0.263157,0.986063,0.383076,,,,,,,,
1172974788771060063!,system_06,5.361692,1.231243,,0.089308,0.362024,1.243042,0.329251,0.197785,0.071078,0.084592,0.338005,0.237420,2.505899,-0.417951,0.186359,0.894135,0.083217,,,,,,,,
1172974788771060063!,system_06,7.017135,1.201386,,0.058932,0.149147,1.106947,0.304496,0.108085,0.039341,0.201385,0.097093,0.186996,2.252540,0.022502,0.130285,0.934558,0.195778,,,,,,,,
1172974788771060063!,system_06,9.103359,0.929760,,0.038835,0.539975,1.349008,0.277259,0.124229,0.347387,0.154726,0.231394,0.276899,2.279485,0.219534,0.088587,0.909526,0.203033,,,,,,,,
1172974788771060063!,system_06,11.732462,0.906701,,-0.023323,0.199130,1.300000,0.168403,0.026532,0.086797,0.302556,-0.143906,0.248688,3.051112,0.065316,0.020241,0.366766,0.086698,,,,,,,,
1172974788771060063!,system_06,15.045711,0.590461,,0.016097,0.202418,1.349673,0.163460,0.098434,-0.235793,0.047664,0.379234,0.249090,2.532884,0.236691,0.048967,0.901900,-0.030779,,,,,,,,
1172974788771060063!,system_06,19.221135,0.301922,,0.015451,0.179403,1.306678,0.131768,-0.047388,-0.168123,0.377141,0.523611,0.238396,2.710134,-0.143475,0.065477,0.827177,-0.052916,,,,,,,,
1172974788771060063!,system_06,24.483092,0.354291,,0.001005,0.488464,1.351440,0.226568,0.056391,-0.163663,0.061696,1.196215,0.213508,1.934673,-0.125792,0.032826,0.921184,0.209205,,,,,,,,
1172974788771060063!,system_06,31.114318,0.259873,,0.043633,0.147520,1.018755,0.093540,-0.066080,0.177091,0.522047,1.335628,0.135543,1.582343,-0.005647,-0.053447,0.846873,0.051079,,,,,,,,
1172974788771060063!,system_06,39.471125,0.209881,,0.039889,0.358425,1.215115,0.137009,-0.021327,0.373613,-0.106717,1.556116,0.073057,1.159720,-0.064375,-0.046381,0.787119,0.102752,,,,,,,,
1172974788771060063!,system_06,50.002546,0.002822,,0.028095,0.347241,1.037043,0.119671,0.038457,0.361948,-0.075566,2.438680,0.088478,0.700934,0.025847,0.018655,0.734178,-0.052178,,,,,,,,
1172974788771060063!,system_06,63.274460,-0.188641,,0.053294,0.185266,1.042191,0.142133,-0.012698,-0.050738,0.396912,2.478262,0.092774,0.271210,0.304465,0.029882,1.004831,0.046234,,,,,,,,
1172974788771060063!,system_06,80.000000,-0.070430,,0.053978,0.278538,1.360357,0.130330,0.028496,0.215931,0.055820,3.303602,0.032643,0.098702,-0.009834,-0.013274,0.738680,0.051570,,,,,,,,
