ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
1833737066991576197!,system_02,0.000000,0.770894,,0.498852,0.001134,0.610199,0.091158,0.004555,0.806336,0.688445,0.022359,0.689456,0.589079,0.078471,0.405831,0.192346,0.072879,0.859982,-1.229467,-0.902843,-1.898251,2.370669,0.889743,1.252970,1.968944
1833737066991576197!,system_02,0.260221,0.830906,,0.374858,0.054769,1.078768,-0.000533,0.009912,0.759208,0.384307,0.018202,0.656181,0.580201,-0.015926,0.328693,0.817295,0.064419,0.859982,-1.229467,-0.902843,-1.898251,2.370669,0.889743,1.252970,1.968944
1833737066991576197!,system_02,0.588156,0.716607,,0.415679,0.012731,1.370157,0.015806,-0.015292,0.705201,0.121322,0.044236,0.787550,0.568709,0.004938,0.322600,1.215841,0.025278,0.859982,-1.229467,-0.902843,-1.898251,2.370669,0.889743,1.252970,1.968944
1833737066991576197!,system_02,1.001427,0.831144,,0.421335,0.071484,1.838180,-0.003019,0.015058,0.768072,-0.103494,0.045912,0.659951,0.594294,-0.007964,0.365519,1.659370,-0.029257,,,,,,,,
1833737066991576197!,system_02,1.522239,0.849280,,0.461560,-0.006426,1.716991,0.013725,-0.002296,0.771785,-0.002589,0.008054,0.639231,0.506550,0.000404,0.350988,1.631489,0.045669,,,,,,,,
1833737066991576197!,system_02,2.178578,0.945242,,0.431070,-0.024038,1.762751,0.009390,0.017051,0.701709,0.082126,0.040851,0.854062,0.502272,-0.011057,0.357400,1.675690,0.148834,,,,,,,,
1833737066991576197!,system_02,3.005710,0.827623,,0.412311,0.054812,1.732426,-0.010130,-0.005161,0.678214,0.064387,0.038997,0.683025,0.442815,-0.005919,0.272459,1.633722,0.004523,,,,,,,,
1833737066991576197!,system_02,4.048078,0.896398,,0.286863,0.131936,1.721113,0.005819,-0.008456,0.777842,0.062130,0.057061,0.693598,0.411301,0.001802,0.320315,1.788966,0.100801,,,,,,,,
1833737066991576197!,system_02,5.361692,1.030044,,0.350049,0.153854,1.795724,0.002992,-0.004321,0.627138,0.108742,0.073568,0.626479,0.486091,0.008923,0.198675,1.843360,0.121505,,,,,,,,
1833737066991576197!,system_02,7.017135,1.104415,,0.351279,0.122795,1.645014,0.017690,0.002180,0.503242,0.114039,0.058251,0.643532,0.432712,-0.011379,0.211656,1.704485,0.225686,,,,,,,,
1833737066991576197!,system_02,9.103359,0.873166,,0.242593,0.295997,1.728695,-0.001302,-0.010703,0.538936,0.192078,0.053017,0.599906,0.369813,0.006743,0.192079,1.735090,0.290329,,,,,,,,
1833737066991576197!,system_02,11.732462,1.025775,,0.117479,0.380511,1.772842,0.004882,-0.003198,0.235275,0.124774,0.095335,0.635732,0.408131,0.018370,0.081323,1.760653,0.369982,,,,,,,,
1833737066991576197!,system_02,15.045711,1.127177,,0.117560,0.290506,1.851298,0.011456,0.002490,0.352273,0.225707,0.100748,0.605527,0.322261,-0.003841,0.161831,1.776782,0.383456,,,,,,,,
1833737066991576197!,system_02,19.221135,1.050428,,0.025165,0.479493,1.927942,0.005426,-0.008024,0.281889,0.224976,0.115397,0.444685,0.337449,-0.005504,0.195372,1.817934,0.415999,,,,,,,,
1833737066991576197!,system_02,24.483092,1.308647,,0.064013,0.448227,1.778978,0.004556,-0.003213,0.265632,0.151549,0.193790,0.329638,0.253217,-0.003765,0.131717,1.812167,0.479903,,,,,,,,
1833737066991576197!,system_02,31.114318,1.377201,,-0.023044,0.363088,1.801319,-0.016492,0.005443,0.029965,0.099375,0.172848,0.345409,0.335330,0.002599,0.104965,1.416000,0.404669,,,,,,,,
1833737066991576197!,system_02,39.471125,1.523237,,-0.059693,0.356517,1.685367,-0.019552,-0.005151,0.134041,0.155443,0.226782,0.207203,0.238549,-0.032602,0.164266,2.057915,0.344661,,,,,,,,
1833737066991576197!,system_02,50.002546,1.600934,,0.077111,0.331634,1.977457,-0.011265,0.003315,0.132782,0.213213,0.203390,0.098484,0.292712,-0.002185,0.165966,1.864370,0.219618,,,,,,,,
1833737066991576197!,system_02,63.274460,1.399549,,-0.035228,0.326784,1.972227,-0.015809,0.007314,0.087615,0.210870,0.171697,0.112831,0.295327,-0.012742,0.154641,1.926201,0.314986,,,,,,,,
1833737066991576197!,system_02,80.000000,1.413978,,0.004066,0.271311,1.656929,-0.000358,0.001402,0.048357,0.140070,0.172160,0.091946,0.294834,0.004072,-0.029639,1.850283,0.222260,,,,,,,,
