ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
1994405518202387533!,great-impartial-bumblebee,0.000000,-0.622496,-2.082305,0.000000,-2.082305,0.000000,0.000000,0.000000,0.000000,-0.038303,-0.155059,0.142649
1994405518202387533!,great-impartial-bumblebee,0.010000,-0.618992,-2.075968,0.000000,-2.075968,0.700861,1.267343,0.000000,1.267343,-0.033797,-0.136218,0.125755
1994405518202387533!,great-impartial-bumblebee,0.020000,-0.608926,-2.057767,0.000000,-2.057767,1.311067,2.370756,0.000000,2.370756,-0.029764,-0.119352,0.110632
1994405518202387533!,great-impartial-bumblebee,0.030000,-0.593151,-2.029241,0.000000,-2.029241,1.840125,3.327433,0.000000,3.327433,-0.026156,-0.104267,0.097105
1994405518202387533!,great-impartial-bumblebee,0.040000,-0.572430,-1.991773,0.000000,-1.991773,2.296598,4.152858,0.000000,4.152858,-0.022932,-0.090783,0.085015
1994405518202387533!,great-impartial-bumblebee,0.050000,-0.547450,-1.946601,0.000000,-1.946601,2.688197,4.860971,0.000000,4.860971,-0.020052,-0.078743,0.074219
1994405518202387533!,great-impartial-bumblebee,0.060000,-0.518822,-1.894835,0.000000,-1.894835,3.021862,5.464326,0.000000,5.464326,-0.017483,-0.068001,0.064587
1994405518202387533!,great-impartial-bumblebee,0.070000,-0.487097,-1.837467,0.000000,-1.837467,3.303842,5.974221,0.000000,5.974221,-0.015194,-0.058428,0.056003
1994405518202387533!,great-impartial-bumblebee,0.080000,-0.452765,-1.775386,0.000000,-1.775386,3.539763,6.400828,0.000000,6.400828,-0.013156,-0.049907,0.048362
1994405518202387533!,great-impartial-bumblebee,0.090000,-0.416266,-1.709386,0.000000,-1.709386,3.734683,6.753296,0.000000,6.753296,-0.011344,-0.042332,0.041570
1994405518202387533!,great-impartial-bumblebee,0.100000,-0.377992,-1.640177,0.000000,-1.640177,3.893157,7.039859,0.000000,7.039859,-0.009737,-0.035608,0.035541
1994405518202387533!,great-impartial-bumblebee,0.110000,-0.338295,-1.568394,0.000000,-1.568394,4.019280,7.267923,0.000000,7.267923,-0.008312,-0.029650,0.030199
1994405518202387533!,great-impartial-bumblebee,0.120000,-0.297486,-1.494601,0.000000,-1.494601,4.116736,7.444148,0.000000,7.444148,-0.007051,-0.024380,0.025473
1994405518202387533!,great-impartial-bumblebee,0.130000,-0.255849,-1.419310,0.000000,-1.419310,4.188834,7.574521,0.000000,7.574521,-0.005939,-0.019729,0.021303
1994405518202387533!,great-impartial-bumblebee,0.140000,-0.213627,-1.342962,0.000000,-1.342962,4.238554,7.664428,0.000000,7.664428,-0.004960,-0.015634,0.017631
1994405518202387533!,great-impartial-bumblebee,0.150000,-0.171035,-1.265943,0.000000,-1.265943,4.268570,7.718704,0.000000,7.718704,-0.004100,-0.012037,0.014406
1994405518202387533!,great-impartial-bumblebee,0.160000,-0.128259,-1.188593,0.000000,-1.188593,4.281282,7.741691,0.000000,7.741691,-0.003347,-0.008889,0.011582
1994405518202387533!,great-impartial-bumblebee,0.170000,-0.085464,-1.111208,0.000000,-1.111208,4.278843,7.737280,0.000000,7.737280,-0.002689,-0.006141,0.009118
1994405518202387533!,great-impartial-bumblebee,0.180000,-0.042792,-1.034046,0.000000,-1.034046,4.263182,7.708961,0.000000,7.708961,-0.002118,-0.003752,0.006977
1994405518202387533!,great-impartial-bumblebee,0.190000,-0.000364,-0.957325,0.000000,-0.957325,4.236028,7.659860,0.000000,7.659860,-0.001624,-0.001685,0.005123
1994405518202387533!,great-impartial-bumblebee,0.200000,0.041718,-0.881230,0.000000,-0.881230,4.198927,7.592771,0.000000,7.592771,-0.001198,0.000096,0.003526
1994405518202387533!,great-impartial-bumblebee,0.210000,0.083364,-0.805923,0.000000,-0.805923,4.153259,7.510191,0.000000,7.510191,-0.000833,0.001620,0.002159
1994405518202387533!,great-impartial-bumblebee,0.220000,0.124498,-0.731542,0.000000,-0.731542,4.100255,7.414347,0.000000,7.414347,-0.000523,0.002916,0.000997
1994405518202387533!,great-impartial-bumblebee,0.230000,0.165054,-0.658206,0.000000,-0.658206,4.041017,7.307228,0.000000,7.307228,-0.000262,0.004009,0.000018
1994405518202387533!,great-impartial-bumblebee,0.240000,0.204977,-0.586014,0.000000,-0.586014,3.976522,7.190604,0.000000,7.190604,-0.000044,0.004920,-0.000799
1994405518202387533!,great-impartial-bumblebee,0.250000,0.244222,-0.515050,0.000000,-0.515050,3.907643,7.066052,0.000000,7.066052,0.000135,0.005670,-0.001472
1994405518202387533!,great-impartial-bumblebee,0.260000,0.282750,-0.445381,0.000000,-0.445381,3.835154,6.934973,0.000000,6.934973,0.000280,0.006278,-0.002017
1994405518202387533!,great-impartial-bumblebee,0.270000,0.320530,-0.377064,0.000000,-0.377064,3.759743,6.798610,0.000000,6.798610,0.000395,0.006758,-0.002447
1994405518202387533!,great-impartial-bumblebee,0.280000,0.357538,-0.310144,0.000000,-0.310144,3.682020,6.658066,0.000000,6.658066,0.000483,0.007126,-0.002778
1994405518202387533!,great-impartial-bumblebee,0.290000,0.393755,-0.244654,0.000000,-0.244654,3.602524,6.514317,0.000000,6.514317,0.000548,0.007396,-0.003019
1994405518202387533!,great-impartial-bumblebee,0.300000,0.429167,-0.180620,0.000000,-0.180620,3.521733,6.368225,0.000000,6.368225,0.000591,0.007578,-0.003182
1994405518202387533!,great-impartial-bumblebee,0.310000,0.463764,-0.118059,0.000000,-0.118059,3.440066,6.220550,0.000000,6.220550,0.000617,0.007683,-0.003277
1994405518202387533!,great-impartial-bumblebee,0.320000,0.497541,-0.056981,0.000000,-0.056981,3.357893,6.071959,0.000000,6.071959,0.000626,0.007721,-0.003311
1994405518202387533!,great-impartial-bumblebee,0.330000,0.530495,0.002608,0.000000,0.002608,3.275537,5.923038,0.000000,5.923038,0.000621,0.007700,-0.003292
1994405518202387533!,great-impartial-bumblebee,0.340000,0.562626,0.060710,0.000000,0.060710,3.193283,5.774301,0.000000,5.774301,0.000603,0.007627,-0.003227
1994405518202387533!,great-impartial-bumblebee,0.350000,0.593939,0.117331,0.000000,0.117331,3.111378,5.626194,0.000000,5.626194,0.000575,0.007510,-0.003122
1994405518202387533!,great-impartial-bumblebee,0.360000,0.624436,0.172479,0.000000,0.172479,3.030035,5.479106,0.000000,5.479106,0.000538,0.007355,-0.002982
1994405518202387533!,great-impartial-bumblebee,0.370000,0.654127,0.226168,0.000000,0.226168,2.949442,5.333371,0.000000,5.333371,0.000493,0.007166,-0.002813
1994405518202387533!,great-impartial-bumblebee,0.380000,0.683019,0.278413,0.000000,0.278413,2.869756,5.189279,0.000000,5.189279,0.000441,0.006949,-0.002618
1994405518202387533!,great-impartial-bumblebee,0.390000,0.711123,0.329232,0.000000,0.329232,2.791115,5.047075,0.000000,5.047075,0.000383,0.006708,-0.002402
1994405518202387533!,great-impartial-bumblebee,0.400000,0.738450,0.378647,0.000000,0.378647,2.713635,4.906970,0.000000,4.906970,0.000321,0.006446,-0.002168
1994405518202387533!,great-impartial-bumblebee,0.410000,0.765013,0.426679,0.000000,0.426679,2.637413,4.769140,0.000000,4.769140,0.000254,0.006168,-0.001918
1994405518202387533!,great-impartial-bumblebee,0.420000,0.790824,0.473352,0.000000,0.473352,2.562529,4.633731,0.000000,4.633731,0.000184,0.005876,-0.001656
1994405518202387533!,great-impartial-bumblebee,0.430000,0.815897,0.518691,0.000000,0.518691,2.489051,4.500863,0.000000,4.500863,0.000112,0.005572,-0.001384
1994405518202387533!,great-impartial-bumblebee,0.440000,0.840247,0.562722,0.000000,0.562722,2.417033,4.370635,0.000000,4.370635,0.000037,0.005260,-0.001105
1994405518202387533!,great-impartial-bumblebee,0.450000,0.863888,0.605471,0.000000,0.605471,2.346516,4.243121,0.000000,4.243121,-0.000039,0.004942,-0.000819
