ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
715301871062979578!,talented-zippy-butterfly,0.000000,1.077790,0.716693,0.085116,0.595870,0.986612,0.163083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.774721,0.026373,-0.129351,0.589103
715301871062979578!,talented-zippy-butterfly,0.010000,1.077174,0.723902,0.084893,0.599891,0.986057,0.166411,-0.124534,1.439921,-0.045065,0.804052,-0.112156,0.664575,0.538690,0.024970,-0.079410,0.412987
715301871062979578!,talented-zippy-butterfly,0.020000,1.075145,0.742966,0.083982,0.610321,0.984485,0.175471,-0.284026,2.369247,-0.138402,1.281101,-0.204093,1.145067,0.385531,0.024479,-0.046389,0.298836
715301871062979578!,talented-zippy-butterfly,0.030000,1.071349,0.769646,0.081946,0.624449,0.982029,0.188731,-0.478475,2.964009,-0.270062,1.543839,-0.289131,1.504447,0.287296,0.024384,-0.024854,0.225740
715301871062979578!,talented-zippy-butterfly,0.040000,1.065461,0.801177,0.078452,0.640507,0.978724,0.205179,-0.702446,3.341042,-0.430067,1.667796,-0.373960,1.783827,0.224735,0.024416,-0.010963,0.179286
715301871062979578!,talented-zippy-butterfly,0.050000,1.057219,0.835770,0.073263,0.657362,0.974555,0.224150,-0.949456,3.576371,-0.609703,1.702567,-0.462185,2.009477,0.184982,0.024427,-0.002106,0.149832
715301871062979578!,talented-zippy-butterfly,0.060000,1.046416,0.872255,0.066209,0.674279,0.969474,0.245195,-1.213487,3.718628,-0.801770,1.680166,-0.555864,2.197825,0.159617,0.024336,0.003439,0.131067
715301871062979578!,talented-zippy-butterfly,0.070000,1.032905,0.909854,0.057196,0.690787,0.963421,0.267992,-1.489255,3.798680,-1.000362,1.621183,-0.656175,2.358920,0.143162,0.024102,0.006808,0.118884
715301871062979578!,talented-zippy-butterfly,0.080000,1.016591,0.948042,0.046179,0.706585,0.956326,0.292301,-1.772233,3.835854,-1.200671,1.538752,-0.763723,2.498689,0.132093,0.023708,0.008745,0.110641
715301871062979578!,talented-zippy-butterfly,0.090000,0.997417,0.986448,0.033160,0.721479,0.948116,0.317925,-2.058530,3.842104,-1.398791,1.441231,-0.878690,2.620430,0.124157,0.023151,0.009735,0.104651
715301871062979578!,talented-zippy-butterfly,0.100000,0.975365,1.024799,0.018175,0.735341,0.938715,0.344694,-2.344777,3.824726,-1.591555,1.333946,-1.000903,2.725787,0.117928,0.022441,0.010100,0.099845
715301871062979578!,talented-zippy-butterfly,0.110000,0.950449,1.062882,0.001288,0.748092,0.928053,0.372449,-2.628021,3.788119,-1.776409,1.220324,-1.129884,2.815396,0.112510,0.021589,0.010051,0.095556
715301871062979578!,talented-zippy-butterfly,0.120000,0.922709,1.100517,-0.017412,0.759677,0.916063,0.401034,-2.905657,3.734917,-1.951321,1.102621,-1.264877,2.889297,0.107354,0.020613,0.009732,0.091373
715301871062979578!,talented-zippy-butterfly,0.130000,0.892212,1.137546,-0.037818,0.770063,0.902690,0.430292,-3.175367,3.666721,-2.114701,0.982376,-1.404874,2.947222,0.102128,0.019529,0.009238,0.087052
715301871062979578!,talented-zippy-butterfly,0.140000,0.859045,1.173825,-0.059810,0.779231,0.887887,0.460061,-3.435077,3.584560,-2.265344,0.860712,-1.548643,2.988780,0.096643,0.018356,0.008634,0.082456
715301871062979578!,talented-zippy-butterfly,0.150000,0.823319,1.209219,-0.083255,0.787171,0.871624,0.490175,-3.682924,3.489193,-2.402367,0.738514,-1.694750,3.013587,0.090803,0.017108,0.007964,0.077516
715301871062979578!,talented-zippy-butterfly,0.160000,0.785161,1.243599,-0.108011,0.793884,0.853884,0.520464,-3.917229,3.381291,-2.525169,0.616541,-1.841595,3.021358,0.084568,0.015803,0.007258,0.072205
715301871062979578!,talented-zippy-butterfly,0.170000,0.744719,1.276844,-0.133931,0.799379,0.834668,0.550753,-4.136483,3.261555,-2.633385,0.495493,-1.987440,3.011972,0.077940,0.014452,0.006535,0.066526
715301871062979578!,talented-zippy-butterfly,0.180000,0.702172,1.308837,-0.160853,0.803677,0.814006,0.580856,-4.339304,3.130753,-2.726848,0.375998,-2.130398,2.985517,0.070950,0.013068,0.005806,0.060509
715301871062979578!,talented-zippy-butterfly,0.190000,0.657713,1.339468,-0.188615,0.806805,0.791946,0.610591,-4.524439,2.989802,-2.805527,0.258692,-2.268523,2.942313,0.063654,0.011662,0.005073,0.054197
715301871062979578!,talented-zippy-butterfly,0.200000,0.611527,1.368644,-0.217065,0.808791,0.768551,0.639789,-4.690810,2.839849,-2.869519,0.144305,-2.399931,2.882933,0.056110,0.010243,0.004338,0.047637
715301871062979578!,talented-zippy-butterfly,0.210000,0.563811,1.396279,-0.246057,0.809668,0.743899,0.668293,-4.837502,2.682221,-2.919034,0.033607,-2.522794,2.808206,0.048381,0.008818,0.003600,0.040882
715301871062979578!,talented-zippy-butterfly,0.220000,0.514767,1.422306,-0.275449,0.809478,0.718087,0.695954,-4.963774,2.518416,-2.954388,-0.072602,-2.635389,2.719201,0.040535,0.007394,0.002856,0.033987
715301871062979578!,talented-zippy-butterfly,0.230000,0.464603,1.446672,-0.305099,0.808269,0.691227,0.722637,-5.069080,2.350080,-2.975991,-0.173491,-2.736139,2.617211,0.032641,0.005976,0.002101,0.027010
715301871062979578!,talented-zippy-butterfly,0.240000,0.413528,1.469340,-0.334876,0.806098,0.663447,0.748223,-5.153077,2.178982,-2.984349,-0.268215,-2.823654,2.503727,0.024769,0.004571,0.001332,0.020011
715301871062979578!,talented-zippy-butterfly,0.250000,0.361755,1.490295,-0.364652,0.803030,0.634885,0.772607,-5.215640,2.006976,-2.980056,-0.355932,-2.896769,2.380402,0.016987,0.003183,0.000546,0.013048
715301871062979578!,talented-zippy-butterfly,0.260000,0.309493,1.509537,-0.394306,0.799139,0.605688,0.795702,-5.256868,1.835961,-2.963794,-0.435814,-2.954568,2.249014,0.009361,0.001816,-0.000260,0.006180
