ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
1192397654354804638!,lush-impartial-bumblebee,0.000000,1.547051,-1.978286,0.000000,-1.978286,0.000000,0.000000,0.000000,0.000000,-0.055721,-0.099318,0.183646
1192397654354804638!,lush-impartial-bumblebee,0.010000,1.543522,-1.972314,0.000000,-1.972314,-0.705905,1.194269,0.000000,1.194269,-0.048962,-0.087686,0.161449
1192397654354804638!,lush-impartial-bumblebee,0.020000,1.533384,-1.955162,0.000000,-1.955162,-1.320502,2.234061,0.000000,2.234061,-0.042912,-0.077275,0.141580
1192397654354804638!,lush-impartial-bumblebee,0.030000,1.517495,-1.928281,0.000000,-1.928281,-1.853367,3.135577,0.000000,3.135577,-0.037500,-0.067962,0.123807
1192397654354804638!,lush-impartial-bumblebee,0.040000,1.496625,-1.892974,0.000000,-1.892974,-2.313125,3.913408,0.000000,3.913408,-0.032664,-0.059638,0.107922
1192397654354804638!,lush-impartial-bumblebee,0.050000,1.471465,-1.850406,0.000000,-1.850406,-2.707542,4.580693,0.000000,4.580693,-0.028344,-0.052206,0.093737
1192397654354804638!,lush-impartial-bumblebee,0.060000,1.442631,-1.801625,0.000000,-1.801625,-3.043608,5.149259,0.000000,5.149259,-0.024491,-0.045574,0.081081
1192397654354804638!,lush-impartial-bumblebee,0.070000,1.410682,-1.747572,0.000000,-1.747572,-3.327618,5.629754,0.000000,5.629754,-0.021057,-0.039665,0.069804
1192397654354804638!,lush-impartial-bumblebee,0.080000,1.376140,-1.689133,0.000000,-1.689133,-3.565237,6.031765,0.000000,6.031765,-0.018001,-0.034406,0.059767
1192397654354804638!,lush-impartial-bumblebee,0.090000,1.339449,-1.627059,0.000000,-1.627059,-3.761574,6.363932,0.000000,6.363932,-0.015285,-0.029732,0.050848
1192397654354804638!,lush-impartial-bumblebee,0.100000,1.301000,-1.562009,0.000000,-1.562009,-3.921222,6.634029,0.000000,6.634029,-0.012875,-0.025585,0.042934
1192397654354804638!,lush-impartial-bumblebee,0.110000,1.261133,-1.494562,0.000000,-1.494562,-4.048313,6.849046,0.000000,6.849046,-0.010740,-0.021911,0.035921
1192397654354804638!,lush-impartial-bumblebee,0.120000,1.220150,-1.425226,0.000000,-1.425226,-4.146560,7.015262,0.000000,7.015262,-0.008852,-0.018661,0.029719
1192397654354804638!,lush-impartial-bumblebee,0.130000,1.178318,-1.354453,0.000000,-1.354453,-4.219294,7.138315,0.000000,7.138315,-0.007185,-0.015792,0.024244
1192397654354804638!,lush-impartial-bumblebee,0.140000,1.135874,-1.282644,0.000000,-1.282644,-4.269506,7.223266,0.000000,7.223266,-0.005716,-0.013265,0.019421
1192397654354804638!,lush-impartial-bumblebee,0.150000,1.093027,-1.210155,0.000000,-1.210155,-4.299881,7.274655,0.000000,7.274655,-0.004426,-0.011044,0.015184
1192397654354804638!,lush-impartial-bumblebee,0.160000,1.049963,-1.137298,0.000000,-1.137298,-4.312825,7.296554,0.000000,7.296554,-0.003295,-0.009099,0.011471
1192397654354804638!,lush-impartial-bumblebee,0.170000,1.006847,-1.064353,0.000000,-1.064353,-4.310498,7.292617,0.000000,7.292617,-0.002308,-0.007400,0.008229
1192397654354804638!,lush-impartial-bumblebee,0.180000,0.963822,-0.991562,0.000000,-0.991562,-4.294833,7.266115,0.000000,7.266115,-0.001449,-0.005922,0.005408
1192397654354804638!,lush-impartial-bumblebee,0.190000,0.921014,-0.919139,0.000000,-0.919139,-4.267564,7.219980,0.000000,7.219980,-0.000705,-0.004641,0.002964
1192397654354804638!,lush-impartial-bumblebee,0.200000,0.878534,-0.847270,0.000000,-0.847270,-4.230242,7.156838,0.000000,7.156838,-0.000064,-0.003537,0.000857
1192397654354804638!,lush-impartial-bumblebee,0.210000,0.836478,-0.776118,0.000000,-0.776118,-4.184255,7.079037,0.000000,7.079037,0.000486,-0.002592,-0.000947
1192397654354804638!,lush-impartial-bumblebee,0.220000,0.794928,-0.705823,0.000000,-0.705823,-4.130845,6.988676,0.000000,6.988676,0.000953,-0.001787,-0.002483
1192397654354804638!,lush-impartial-bumblebee,0.230000,0.753955,-0.636504,0.000000,-0.636504,-4.071120,6.887630,0.000000,6.887630,0.001348,-0.001109,-0.003777
1192397654354804638!,lush-impartial-bumblebee,0.240000,0.713620,-0.568263,0.000000,-0.568263,-4.006068,6.777575,0.000000,6.777575,0.001676,-0.000543,-0.004858
1192397654354804638!,lush-impartial-bumblebee,0.250000,0.673973,-0.501188,0.000000,-0.501188,-3.936573,6.660001,0.000000,6.660001,0.001947,-0.000077,-0.005747
1192397654354804638!,lush-impartial-bumblebee,0.260000,0.635058,-0.435351,0.000000,-0.435351,-3.863420,6.536239,0.000000,6.536239,0.002166,0.000300,-0.006466
