ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
2128972724180506549!,thoughtful-antique-butterfly,0.000000,0.082488,-1.440334,0.589829,0.494248,0.089835,0.491864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013435,0.063469,-0.005335,-0.018743,0.008525,0.127782
2128972724180506549!,thoughtful-antique-butterfly,0.010000,0.079242,-1.437888,0.589739,0.495864,0.089754,0.491878,-0.648443,0.488520,-0.018582,0.322242,-0.016037,0.002926,-0.023696,0.031476,0.004137,0.000259,0.011508,0.084131
2128972724180506549!,thoughtful-antique-butterfly,0.020000,0.071449,-1.431124,0.589556,0.500602,0.089632,0.491901,-0.909976,0.863017,-0.019107,0.624078,-0.008271,0.001507,-0.027777,0.017354,0.008257,0.008374,0.012759,0.064404
2128972724180506549!,thoughtful-antique-butterfly,0.030000,0.061878,-1.420903,0.589375,0.508280,0.089644,0.491898,-1.004747,1.180091,-0.018817,0.910508,0.011097,-0.002022,-0.028998,0.010971,0.010157,0.011638,0.013368,0.054936
2128972724180506549!,thoughtful-antique-butterfly,0.040000,0.051712,-1.407683,0.589155,0.518753,0.089879,0.491855,-1.029553,1.462551,-0.027456,1.182982,0.036635,-0.006695,-0.028853,0.007878,0.011204,0.012727,0.013803,0.049758
2128972724180506549!,thoughtful-antique-butterfly,0.050000,0.041440,-1.391764,0.588777,0.531884,0.090389,0.491762,-1.026830,1.718887,-0.051130,1.441271,0.065872,-0.012108,-0.028017,0.006119,0.011982,0.012833,0.014249,0.046250
2128972724180506549!,thoughtful-antique-butterfly,0.060000,0.031245,-1.373396,0.588068,0.547528,0.091205,0.491611,-1.014980,1.951162,-0.093956,1.684183,0.097619,-0.018110,-0.026809,0.004835,0.012728,0.012497,0.014769,0.043263
2128972724180506549!,thoughtful-antique-butterfly,0.070000,0.021184,-1.352821,0.586824,0.565525,0.092350,0.491398,-1.001745,2.158438,-0.158770,1.909880,0.131239,-0.024664,-0.025384,0.003655,0.013523,0.011968,0.015367,0.040309
2128972724180506549!,thoughtful-antique-butterfly,0.080000,0.011254,-1.330300,0.584813,0.585693,0.093839,0.491115,-0.990168,2.338362,-0.247442,2.116024,0.166295,-0.031775,-0.023833,0.002428,0.014381,0.011368,0.016023,0.037195
2128972724180506549!,thoughtful-antique-butterfly,0.090000,0.001435,-1.306122,0.581789,0.607824,0.095686,0.490759,-0.981125,2.487977,-0.360947,2.299925,0.202438,-0.039471,-0.022215,0.001104,0.015281,0.010760,0.016702,0.033867
2128972724180506549!,thoughtful-antique-butterfly,0.100000,-0.008306,-1.280621,0.577505,0.631662,0.097897,0.490322,-0.974611,2.604278,-0.499413,2.458706,0.239242,-0.047767,-0.020579,-0.000321,0.016190,0.010184,0.017369,0.030339
2128972724180506549!,thoughtful-antique-butterfly,0.110000,-0.017999,-1.254150,0.571716,0.656932,0.100476,0.489801,-0.970113,2.684387,-0.662167,2.589362,0.276286,-0.056676,-0.018967,-0.001828,0.017068,0.009666,0.017983,0.026658
2128972724180506549!,thoughtful-antique-butterfly,0.120000,-0.027661,-1.227078,0.564186,0.683346,0.103423,0.489187,-0.966844,2.725747,-0.847785,2.688863,0.313162,-0.066208,-0.017416,-0.003386,0.017875,0.009223,0.018508,0.022884
2128972724180506549!,thoughtful-antique-butterfly,0.130000,-0.037295,-1.199797,0.554695,0.710582,0.106735,0.488475,-0.963875,2.726360,-1.054095,2.754317,0.349405,-0.076347,-0.015961,-0.004964,0.018571,0.008870,0.018909,0.019081
