ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
1104194608286874576!,talented-antique-butterfly,0.000000,-1.831912,-1.674022,-0.841399,-1.811441,-0.467669,-0.883903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078793,0.105072,0.117275,-0.118961,0.150810,0.210325
1104194608286874576!,talented-antique-butterfly,0.010000,-1.826178,-1.670053,-0.836542,-1.813646,-0.465641,-0.884974,1.148516,0.790996,0.970072,-0.438830,0.405403,-0.213309,0.064838,0.098091,0.090511,-0.101948,0.120245,0.190526
1104194608286874576!,talented-antique-butterfly,0.020000,-1.809656,-1.658362,-0.822774,-1.819808,-0.459907,-0.887967,2.162420,1.544436,1.780748,-0.788642,0.740736,-0.383651,0.054244,0.092440,0.071048,-0.089037,0.097888,0.175464
1104194608286874576!,talented-antique-butterfly,0.030000,-1.783351,-1.639320,-0.801518,-1.829068,-0.451091,-0.892478,3.107076,2.259167,2.466236,-1.056797,1.021061,-0.516081,0.045054,0.087297,0.054811,-0.077851,0.079138,0.162419
1104194608286874576!,talented-antique-butterfly,0.040000,-1.747767,-1.613316,-0.773945,-1.840629,-0.439711,-0.898139,4.014473,2.930103,3.039482,-1.246812,1.251742,-0.612827,0.036058,0.081998,0.039340,-0.066862,0.061181,0.149463
1104194608286874576!,talented-antique-butterfly,0.050000,-1.703228,-1.580830,-0.741182,-1.853717,-0.426268,-0.904597,4.892203,3.547296,3.499964,-1.360947,1.432081,-0.674831,0.026571,0.075993,0.023300,-0.055140,0.042448,0.135216
1104194608286874576!,talented-antique-butterfly,0.060000,-1.650075,-1.542461,-0.704403,-1.867583,-0.411289,-0.911505,5.730727,4.096379,3.840153,-1.402686,1.558170,-0.703078,0.016306,0.068878,0.006163,-0.042222,0.022277,0.118804
1104194608286874576!,talented-antique-butterfly,0.070000,-1.588811,-1.498974,-0.664876,-1.881524,-0.395351,-0.918530,6.509104,4.560217,4.050320,-1.378239,1.625043,-0.699446,0.005304,0.060469,-0.011975,-0.028071,0.000728,0.099909
1104194608286874576!,talented-antique-butterfly,0.080000,-1.520193,-1.451305,-0.623972,-1.894914,-0.379081,-0.925364,7.200778,4.921632,4.122638,-1.297104,1.628523,-0.667134,-0.006121,0.050857,-0.030552,-0.013033,-0.021570,0.078825
1104194608286874576!,talented-antique-butterfly,0.090000,-1.445262,-1.400559,-0.583126,-1.907237,-0.363142,-0.931734,7.779480,5.166586,4.054495,-1.171642,1.566722,-0.610628,-0.017461,0.040423,-0.048710,0.002239,-0.043598,0.056424
