ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
1901067822570240122!,great-proficient-bumblebee,0.000000,0.884996,2.533285,0.000000,2.533285,0.000000,0.000000,0.000000,0.000000,-0.004381,0.037915,0.054152,0.004014
1901067822570240122!,great-proficient-bumblebee,0.010000,0.884504,2.527622,0.000000,2.527622,-0.098308,-1.132672,0.000000,-1.132672,-0.003683,0.032597,0.046456,0.003385
1901067822570240122!,great-proficient-bumblebee,0.020000,0.883092,2.511355,0.000000,2.511355,-0.183901,-2.118834,0.000000,-2.118834,-0.003058,0.027838,0.039568,0.002821
1901067822570240122!,great-proficient-bumblebee,0.030000,0.880879,2.485860,0.000000,2.485860,-0.258111,-2.973853,0.000000,-2.973853,-0.002498,0.023580,0.033406,0.002317
1901067822570240122!,great-proficient-bumblebee,0.040000,0.877973,2.452373,0.000000,2.452373,-0.322139,-3.711566,0.000000,-3.711566,-0.001999,0.019775,0.027899,0.001867
1901067822570240122!,great-proficient-bumblebee,0.050000,0.874469,2.412002,0.000000,2.412002,-0.377068,-4.344433,0.000000,-4.344433,-0.001552,0.016377,0.022981,0.001465
1901067822570240122!,great-proficient-bumblebee,0.060000,0.870454,2.365736,0.000000,2.365736,-0.423871,-4.883674,0.000000,-4.883674,-0.001154,0.013345,0.018594,0.001106
1901067822570240122!,great-proficient-bumblebee,0.070000,0.866003,2.314464,0.000000,2.314464,-0.463424,-5.339387,0.000000,-5.339387,-0.000799,0.010643,0.014684,0.000786
1901067822570240122!,great-proficient-bumblebee,0.080000,0.861188,2.258980,0.000000,2.258980,-0.496516,-5.720661,0.000000,-5.720661,-0.000483,0.008239,0.011203,0.000502
1901067822570240122!,great-proficient-bumblebee,0.090000,0.856069,2.200003,0.000000,2.200003,-0.523857,-6.035675,0.000000,-6.035675,-0.000202,0.006101,0.008110,0.000248
1901067822570240122!,great-proficient-bumblebee,0.100000,0.850704,2.138193,0.000000,2.138193,-0.546086,-6.291791,0.000000,-6.291791,0.000047,0.004204,0.005364,0.000024
1901067822570240122!,great-proficient-bumblebee,0.110000,0.845143,2.074113,0.000000,2.074113,-0.563779,-6.495636,0.000000,-6.495636,0.000268,0.002523,0.002932,-0.000175
1901067822570240122!,great-proficient-bumblebee,0.120000,0.839427,2.008261,0.000000,2.008261,-0.577452,-6.653174,0.000000,-6.653174,0.000463,0.001037,0.000781,-0.000351
1901067822570240122!,great-proficient-bumblebee,0.130000,0.833595,1.941071,0.000000,1.941071,-0.587570,-6.769758,0.000000,-6.769758,0.000635,-0.000275,-0.001118,-0.000506
1901067822570240122!,great-proficient-bumblebee,0.140000,0.827681,1.872924,0.000000,1.872924,-0.594552,-6.850200,0.000000,-6.850200,0.000787,-0.001430,-0.002790,-0.000643
1901067822570240122!,great-proficient-bumblebee,0.150000,0.821712,1.804155,0.000000,1.804155,-0.598772,-6.898814,0.000000,-6.898814,0.000920,-0.002445,-0.004258,-0.000763
1901067822570240122!,great-proficient-bumblebee,0.160000,0.815715,1.735056,0.000000,1.735056,-0.600564,-6.919470,0.000000,-6.919470,0.001037,-0.003334,-0.005544,-0.000868
1901067822570240122!,great-proficient-bumblebee,0.170000,0.809711,1.665881,0.000000,1.665881,-0.600232,-6.915636,0.000000,-6.915636,0.001139,-0.004110,-0.006668,-0.000960
1901067822570240122!,great-proficient-bumblebee,0.180000,0.803720,1.596857,0.000000,1.596857,-0.598043,-6.890416,0.000000,-6.890416,0.001228,-0.004785,-0.007645,-0.001040
1901067822570240122!,great-proficient-bumblebee,0.190000,0.797759,1.528178,0.000000,1.528178,-0.594239,-6.846592,0.000000,-6.846592,0.001304,-0.005370,-0.008492,-0.001109
1901067822570240122!,great-proficient-bumblebee,0.200000,0.791843,1.460017,0.000000,1.460017,-0.589036,-6.786648,0.000000,-6.786648,0.001371,-0.005874,-0.009222,-0.001169
1901067822570240122!,great-proficient-bumblebee,0.210000,0.785985,1.392522,0.000000,1.392522,-0.582628,-6.712809,0.000000,-6.712809,0.001427,-0.006307,-0.009847,-0.001220
1901067822570240122!,great-proficient-bumblebee,0.220000,0.780196,1.325824,0.000000,1.325824,-0.575185,-6.627061,0.000000,-6.627061,0.001476,-0.006674,-0.010379,-0.001264
1901067822570240122!,great-proficient-bumblebee,0.230000,0.774486,1.260032,0.000000,1.260032,-0.566863,-6.531176,0.000000,-6.531176,0.001517,-0.006985,-0.010829,-0.001300
1901067822570240122!,great-proficient-bumblebee,0.240000,0.768862,1.195244,0.000000,1.195244,-0.557799,-6.426738,0.000000,-6.426738,0.001551,-0.007244,-0.011204,-0.001331
1901067822570240122!,great-proficient-bumblebee,0.250000,0.763333,1.131540,0.000000,1.131540,-0.548114,-6.315155,0.000000,-6.315155,0.001579,-0.007458,-0.011513,-0.001356
1901067822570240122!,great-proficient-bumblebee,0.260000,0.757904,1.068987,0.000000,1.068987,-0.537918,-6.197684,0.000000,-6.197684,0.001601,-0.007631,-0.011764,-0.001377
1901067822570240122!,great-proficient-bumblebee,0.270000,0.752580,1.007642,0.000000,1.007642,-0.527308,-6.075441,0.000000,-6.075441,0.001619,-0.007768,-0.011963,-0.001393
1901067822570240122!,great-proficient-bumblebee,0.280000,0.747364,0.947552,0.000000,0.947552,-0.516370,-5.949418,0.000000,-5.949418,0.001633,-0.007874,-0.012115,-0.001406
1901067822570240122!,great-proficient-bumblebee,0.290000,0.742261,0.888754,0.000000,0.888754,-0.505181,-5.820494,0.000000,-5.820494,0.001643,-0.007951,-0.012226,-0.001415
1901067822570240122!,great-proficient-bumblebee,0.300000,0.737272,0.831275,0.000000,0.831275,-0.493807,-5.689449,0.000000,-5.689449,0.001650,-0.008003,-0.012302,-0.001421
1901067822570240122!,great-proficient-bumblebee,0.310000,0.732400,0.775137,0.000000,0.775137,-0.482309,-5.556971,0.000000,-5.556971,0.001654,-0.008033,-0.012345,-0.001424
1901067822570240122!,great-proficient-bumblebee,0.320000,0.727645,0.720355,0.000000,0.720355,-0.470739,-5.423667,0.000000,-5.423667,0.001656,-0.008043,-0.012360,-0.001426
1901067822570240122!,great-proficient-bumblebee,0.330000,0.723009,0.666938,0.000000,0.666938,-0.459143,-5.290071,0.000000,-5.290071,0.001655,-0.008037,-0.012351,-0.001425
1901067822570240122!,great-proficient-bumblebee,0.340000,0.718491,0.614889,0.000000,0.614889,-0.447564,-5.156653,0.000000,-5.156653,0.001652,-0.008015,-0.012320,-0.001422
1901067822570240122!,great-proficient-bumblebee,0.350000,0.714093,0.564208,0.000000,0.564208,-0.436035,-5.023822,0.000000,-5.023822,0.001647,-0.007981,-0.012271,-0.001418
1901067822570240122!,great-proficient-bumblebee,0.360000,0.709812,0.514889,0.000000,0.514889,-0.424588,-4.891935,0.000000,-4.891935,0.001641,-0.007936,-0.012205,-0.001413
1901067822570240122!,great-proficient-bumblebee,0.370000,0.705649,0.466924,0.000000,0.466924,-0.413250,-4.761303,0.000000,-4.761303,0.001634,-0.007880,-0.012125,-0.001406
1901067822570240122!,great-proficient-bumblebee,0.380000,0.701601,0.420280,0.000000,0.420280,-0.402044,-4.632194,0.000000,-4.632194,0.001626,-0.007817,-0.012033,-0.001399
1901067822570240122!,great-proficient-bumblebee,0.390000,0.697664,0.374917,0.000000,0.374917,-0.390990,-4.504831,0.000000,-4.504831,0.001617,-0.007747,-0.011932,-0.001391
1901067822570240122!,great-proficient-bumblebee,0.400000,0.693836,0.330820,0.000000,0.330820,-0.380103,-4.379396,0.000000,-4.379396,0.001607,-0.007671,-0.011822,-0.001382
1901067822570240122!,great-proficient-bumblebee,0.410000,0.690117,0.287973,0.000000,0.287973,-0.369396,-4.256042,0.000000,-4.256042,0.001596,-0.007591,-0.011706,-0.001372
1901067822570240122!,great-proficient-bumblebee,0.420000,0.686505,0.246355,0.000000,0.246355,-0.358882,-4.134900,0.000000,-4.134900,0.001585,-0.007507,-0.011584,-0.001362
1901067822570240122!,great-proficient-bumblebee,0.430000,0.682998,0.205949,0.000000,0.205949,-0.348569,-4.016075,0.000000,-4.016075,0.001574,-0.007420,-0.011458,-0.001352
1901067822570240122!,great-proficient-bumblebee,0.440000,0.679594,0.166732,0.000000,0.166732,-0.338464,-3.899654,0.000000,-3.899654,0.001562,-0.007330,-0.011328,-0.001341
1901067822570240122!,great-proficient-bumblebee,0.450000,0.676292,0.128684,0.000000,0.128684,-0.328574,-3.785707,0.000000,-3.785707,0.001550,-0.007238,-0.011196,-0.001330
1901067822570240122!,great-proficient-bumblebee,0.460000,0.673089,0.091781,0.000000,0.091781,-0.318904,-3.674287,0.000000,-3.674287,0.001538,-0.007145,-0.011061,-0.001319
1901067822570240122!,great-proficient-bumblebee,0.470000,0.669984,0.056000,0.000000,0.056000,-0.309456,-3.565433,0.000000,-3.565433,0.001525,-0.007051,-0.010925,-0.001308
1901067822570240122!,great-proficient-bumblebee,0.480000,0.666971,0.021288,0.000000,0.021288,-0.300233,-3.459172,0.000000,-3.459172,0.001513,-0.006957,-0.010788,-0.001297
