ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
1508157815566416003!,talented-antique-butterfly,0.000000,-1.340697,1.461616,-0.342784,1.397038,-0.846141,0.532959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224803,-0.116651,0.179793,-0.124720,0.168799,-0.295743
1508157815566416003!,talented-antique-butterfly,0.010000,-1.339170,1.452457,-0.340971,1.392468,-0.847752,0.530393,0.306344,-1.829339,0.361365,-0.913806,-0.320818,-0.512778,0.165817,-0.088656,0.125475,-0.089488,0.116194,-0.228288
1508157815566416003!,talented-antique-butterfly,0.020000,-1.334615,1.427227,-0.335739,1.379832,-0.852063,0.523439,0.607055,-3.214629,0.683002,-1.613974,-0.538923,-0.877268,0.122822,-0.067717,0.086494,-0.064161,0.078632,-0.177668
1508157815566416003!,talented-antique-butterfly,0.030000,-1.327071,1.389765,-0.327487,1.360943,-0.858167,0.513371,0.902933,-4.272011,0.963748,-2.162809,-0.678660,-1.134468,0.089847,-0.051405,0.057862,-0.045085,0.051248,-0.137444
1508157815566416003!,talented-antique-butterfly,0.040000,-1.316619,1.342964,-0.316636,1.337121,-0.865374,0.501126,1.185513,-5.075890,1.199996,-2.597275,-0.759305,-1.311211,0.063435,-0.038278,0.036305,-0.030093,0.030818,-0.104101
1508157815566416003!,talented-antique-butterfly,0.050000,-1.303440,1.289116,-0.303646,1.309397,-0.873167,0.487421,1.444888,-5.676409,1.389379,-2.940067,-0.795972,-1.425906,0.041588,-0.027481,0.019680,-0.017891,0.015209,-0.075751
1508157815566416003!,talented-antique-butterfly,0.060000,-1.287807,1.230085,-0.288985,1.278621,-0.881163,0.472813,1.673063,-6.109830,1.531961,-3.206074,-0.800546,-1.491945,0.023178,-0.018508,0.006602,-0.007727,0.003033,-0.051417
1508157815566416003!,talented-antique-butterfly,0.070000,-1.270060,1.167423,-0.273114,1.245516,-0.889083,0.457746,1.865093,-6.404468,1.630218,-3.406061,-0.782378,-1.519618,0.007590,-0.011063,-0.003807,0.000820,-0.006591,-0.030610
1508157815566416003!,talented-antique-butterfly,0.080000,-1.250582,1.102423,-0.256463,1.210715,-0.896735,0.442567,2.019141,-6.584051,1.688504,-3.548807,-0.748806,-1.517240,-0.005508,-0.004956,-0.012097,0.007984,-0.014219,-0.013073
1508157815566416003!,talented-antique-butterfly,0.090000,-1.229756,1.036149,-0.239409,1.174759,-0.903994,0.427546,2.136026,-6.669407,1.712337,-3.642214,-0.705518,-1.491731,-0.016327,-0.000048,-0.018631,0.013903,-0.020211,0.001388
1508157815566416003!,talented-antique-butterfly,0.100000,-1.207946,0.969459,-0.222271,1.138111,-0.910783,0.412886,2.218544,-6.679189,1.707736,-3.693797,-0.656841,-1.448922,-0.025044,0.003789,-0.023670,0.018682,-0.024821,0.012984
1508157815566416003!,talented-antique-butterfly,0.110000,-1.185479,0.903026,-0.205303,1.101154,-0.917066,0.398735,2.270731,-6.630048,1.680641,-3.710767,-0.605984,-1.393726,-0.031853,0.006688,-0.027431,0.022426,-0.028256,0.021983
1508157815566416003!,talented-antique-butterfly,0.120000,-1.162637,0.837354,-0.188705,1.064196,-0.922838,0.385189,2.297189,-6.536519,1.636494,-3.699863,-0.555224,-1.330209,-0.036977,0.008784,-0.030114,0.025253,-0.030700,0.028704
1508157815566416003!,talented-antique-butterfly,0.130000,-1.139651,0.772812,-0.172621,1.027476,-0.928108,0.372312,2.302608,-6.411006,1.580046,-3.667249,-0.506112,-1.261648,-0.040662,0.010217,-0.031907,0.027294,-0.032327,0.033498
1508157815566416003!,talented-antique-butterfly,0.140000,-1.116706,0.709656,-0.157151,0.991180,-0.932899,0.360137,2.291377,-6.263746,1.515238,-3.618330,-0.459624,-1.190610,-0.043163,0.011120,-0.032990,0.028685,-0.033302,0.036720
