ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
2141281893197424814!,great-mauve-beetle,0.000000,-1.240804,-1.915901,0.196588,-1.487062,0.000000,0.000000,0.000000,0.000000,0.256279,1.621263,-1.064821
2141281893197424814!,great-mauve-beetle,0.010000,-1.259935,-1.891951,0.184809,-1.488572,-3.791940,4.801984,-2.369082,-0.294126,-0.007558,0.189950,-0.013552
2141281893197424814!,great-mauve-beetle,0.020000,-1.297621,-1.837766,0.161805,-1.491247,-3.723641,6.032169,-2.233846,-0.242380,-0.038515,0.010560,0.111961
2141281893197424814!,great-mauve-beetle,0.030000,-1.332029,-1.773873,0.141499,-1.493311,-3.149242,6.735754,-1.833664,-0.173749,-0.039010,-0.006990,0.116745
2141281893197424814!,great-mauve-beetle,0.040000,-1.360333,-1.703587,0.125062,-1.494777,-2.507038,7.307694,-1.462558,-0.122366,-0.035734,-0.004779,0.106635
2141281893197424814!,great-mauve-beetle,0.050000,-1.382154,-1.627988,0.112012,-1.495812,-1.853768,7.797281,-1.156351,-0.086592,-0.031926,-0.000515,0.094560
2141281893197424814!,great-mauve-beetle,0.060000,-1.397443,-1.547885,0.101678,-1.496550,-1.201789,8.207582,-0.918595,-0.062411,-0.027929,0.003602,0.081955
2141281893197424814!,great-mauve-beetle,0.070000,-1.406258,-1.464087,0.093379,-1.497091,-0.559864,8.535095,-0.748729,-0.046701,-0.023746,0.007388,0.068864
2141281893197424814!,great-mauve-beetle,0.080000,-1.408743,-1.377429,0.086443,-1.497507,0.062267,8.776130,-0.645535,-0.037263,-0.019373,0.010918,0.055255
2141281893197424814!,great-mauve-beetle,0.090000,-1.405147,-1.288751,0.080207,-1.497854,0.654074,8.928516,-0.607434,-0.032527,-0.014835,0.014280,0.041194
2141281893197424814!,great-mauve-beetle,0.100000,-1.395863,-1.198973,0.073993,-1.498174,1.205079,8.992679,-0.631804,-0.031204,-0.010200,0.017511,0.026868
2141281893197424814!,great-mauve-beetle,0.110000,-1.381343,-1.109079,0.067228,-1.498493,1.705364,8.971434,-0.715012,-0.032078,-0.005548,0.020698,0.012502
2141281893197424814!,great-mauve-beetle,0.120000,-1.362111,-1.019829,0.059354,-1.498825,2.146953,8.870284,-0.853488,-0.033798,-0.000978,0.023863,-0.001618
2141281893197424814!,great-mauve-beetle,0.130000,-1.338785,-0.931962,0.049837,-1.499172,2.524086,8.697308,-1.042658,-0.034661,0.003408,0.026991,-0.015187
2141281893197424814!,great-mauve-beetle,0.140000,-1.312031,-0.846143,0.038194,-1.499514,2.833497,8.462462,-1.277211,-0.032532,0.007519,0.030058,-0.027929
2141281893197424814!,great-mauve-beetle,0.150000,-1.282535,-0.762935,0.023994,-1.499808,3.074410,8.176942,-1.551323,-0.024818,0.011280,0.033025,-0.039621
2141281893197424814!,great-mauve-beetle,0.160000,-1.250982,-0.682786,0.006869,-1.499984,3.248298,7.852507,-1.858833,-0.008512,0.014642,0.035846,-0.050101
2141281893197424814!,great-mauve-beetle,0.170000,-1.218032,-0.606027,-0.013490,-1.499939,3.358476,7.500863,-2.193407,0.019726,0.017576,0.038470,-0.059277
2141281893197424814!,great-mauve-beetle,0.180000,-1.184306,-0.532874,-0.037325,-1.499536,3.409619,7.133173,-2.548667,0.063439,0.020074,0.040845,-0.067119
2141281893197424814!,great-mauve-beetle,0.190000,-1.150376,-0.463434,-0.064819,-1.498599,3.407286,6.759716,-2.918276,0.126224,0.022148,0.042922,-0.073648
2141281893197424814!,great-mauve-beetle,0.200000,-1.116754,-0.397717,-0.096090,-1.496919,3.357505,6.389690,-3.296000,0.211575,0.023820,0.044660,-0.078924
2141281893197424814!,great-mauve-beetle,0.210000,-1.083893,-0.335647,-0.131194,-1.494252,3.266455,6.031147,-3.675722,0.322725,0.025121,0.046027,-0.083030
2141281893197424814!,great-mauve-beetle,0.220000,-1.052184,-0.277071,-0.170128,-1.490321,3.140260,5.691003,-4.051446,0.462494,0.026084,0.046999,-0.086063
2141281893197424814!,great-mauve-beetle,0.230000,-1.021920,-0.221770,-0.212796,-1.484829,2.984775,5.374975,-4.417423,0.633076,0.026743,0.047567,-0.088121
2141281893197424814!,great-mauve-beetle,0.240000,-0.993274,-0.169481,-0.258998,-1.477471,2.805521,5.087602,-4.768238,0.835864,0.027132,0.047734,-0.089303
2141281893197424814!,great-mauve-beetle,0.250000,-0.966458,-0.119898,-0.308557,-1.467921,2.608074,4.832771,-5.098329,1.071668,0.027276,0.047490,-0.089684
2141281893197424814!,great-mauve-beetle,0.260000,-0.941630,-0.072685,-0.361241,-1.455852,2.397836,4.613440,-5.402244,1.340461,0.027197,0.046832,-0.089327
2141281893197424814!,great-mauve-beetle,0.270000,-0.918895,-0.027479,-0.416768,-1.440939,2.180060,4.431678,-5.674681,1.641308,0.026912,0.045755,-0.088280
2141281893197424814!,great-mauve-beetle,0.280000,-0.898309,0.016101,-0.474802,-1.422871,1.959860,4.288661,-5.910542,1.972306,0.026432,0.044252,-0.086575
2141281893197424814!,great-mauve-beetle,0.290000,-0.879878,0.058442,-0.534960,-1.401363,1.742184,4.184655,-6.105012,2.330544,0.025764,0.042309,-0.084230
2141281893197424814!,great-mauve-beetle,0.300000,-0.863560,0.099932,-0.596812,-1.376160,1.531756,4.119004,-6.253655,2.712081,0.024910,0.039906,-0.081249
2141281893197424814!,great-mauve-beetle,0.310000,-0.849268,0.140944,-0.659886,-1.347052,1.332976,4.090105,-6.352543,3.111946,0.023870,0.037018,-0.077625
2141281893197424814!,great-mauve-beetle,0.320000,-0.836872,0.181837,-0.723674,-1.313886,1.149798,4.095422,-6.398398,3.524167,0.022641,0.033610,-0.073346
2141281893197424814!,great-mauve-beetle,0.330000,-0.826206,0.222935,-0.787637,-1.276569,0.985579,4.131513,-6.388764,3.941837,0.021221,0.029648,-0.068395
2141281893197424814!,great-mauve-beetle,0.340000,-0.817076,0.264530,-0.851219,-1.235081,0.842946,4.194101,-6.322161,4.357238,0.019608,0.025096,-0.062760
2141281893197424814!,great-mauve-beetle,0.350000,-0.809263,0.306863,-0.913850,-1.189487,0.723582,4.278179,-6.198299,4.761980,0.017801,0.019930,-0.056439
