ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
221494782775379736!,rebel-wine-beetle,0.000000,-1.402599,-0.507457,-1.975486,0.312178,0.000000,0.000000,0.000000,0.000000,-0.219633,0.059600,0.340818,0.174546
221494782775379736!,rebel-wine-beetle,0.010000,-1.400278,-0.499567,-1.974358,0.319232,0.463675,1.575041,0.227943,1.409764,-0.183654,0.014887,0.239924,0.145447
221494782775379736!,rebel-wine-beetle,0.020000,-1.393293,-0.478172,-1.971250,0.337895,0.935177,2.700858,0.397712,2.320212,-0.156303,-0.013132,0.170925,0.123412
221494782775379736!,rebel-wine-beetle,0.030000,-1.381622,-0.447074,-1.966602,0.363973,1.397561,3.512267,0.534882,2.890047,-0.134092,-0.029196,0.123518,0.105615
221494782775379736!,rebel-wine-beetle,0.040000,-1.365448,-0.408952,-1.960687,0.394596,1.830575,4.102414,0.649559,3.227560,-0.115248,-0.037372,0.090328,0.090595
221494782775379736!,rebel-wine-beetle,0.050000,-1.345140,-0.365707,-1.953713,0.427791,2.218947,4.534547,0.745447,3.404447,-0.098842,-0.040654,0.066378,0.077574
221494782775379736!,rebel-wine-beetle,0.060000,-1.321193,-0.318711,-1.945866,0.462176,2.553325,4.851351,0.823631,3.467674,-0.084370,-0.041068,0.048452,0.066124
221494782775379736!,rebel-wine-beetle,0.070000,-1.294172,-0.268979,-1.937326,0.496759,2.829140,5.081848,0.884183,3.448253,-0.071550,-0.039907,0.034540,0.056002
221494782775379736!,rebel-wine-beetle,0.080000,-1.264677,-0.217283,-1.928275,0.530806,3.045181,5.246233,0.926908,3.367206,-0.060213,-0.037963,0.023420,0.047066
221494782775379736!,rebel-wine-beetle,0.090000,-1.233308,-0.164223,-1.918898,0.563764,3.202440,5.359062,0.951732,3.239434,-0.050254,-0.035705,0.014363,0.039223
221494782775379736!,rebel-wine-beetle,0.100000,-1.200658,-0.110272,-1.909375,0.595221,3.303344,5.431256,0.958945,3.076142,-0.041596,-0.033389,0.006942,0.032410
221494782775379736!,rebel-wine-beetle,0.110000,-1.167288,-0.055793,-1.899875,0.624881,3.351187,5.471325,0.949311,2.886266,-0.034168,-0.031142,0.000913,0.026568
221494782775379736!,rebel-wine-beetle,0.120000,-1.133714,-0.001068,-1.890557,0.652528,3.349736,5.486162,0.924084,2.677333,-0.027895,-0.028999,-0.003864,0.021639
221494782775379736!,rebel-wine-beetle,0.130000,-1.100404,0.053690,-1.881566,0.678019,3.303036,5.481445,0.885023,2.456022,-0.022690,-0.026942,-0.007468,0.017553
221494782775379736!,rebel-wine-beetle,0.140000,-1.067787,0.108318,-1.873024,0.701271,3.215311,5.461861,0.834369,2.228515,-0.018454,-0.024909,-0.009937,0.014232
221494782775379736!,rebel-wine-beetle,0.150000,-1.036245,0.162694,-1.865031,0.722260,3.090943,5.431211,0.774814,2.000737,-0.015075,-0.022807,-0.011287,0.011591
221494782775379736!,rebel-wine-beetle,0.160000,-1.006118,0.216727,-1.857659,0.741015,2.934526,5.392468,0.709446,1.778519,-0.012434,-0.020523,-0.011518,0.009535
221494782775379736!,rebel-wine-beetle,0.170000,-0.977698,0.270349,-1.850949,0.757621,2.750976,5.347808,0.641685,1.567705,-0.010403,-0.017934,-0.010620,0.007967
221494782775379736!,rebel-wine-beetle,0.180000,-0.951230,0.323507,-1.844905,0.772221,2.545671,5.298667,0.575200,1.374206,-0.008852,-0.014909,-0.008583,0.006784
221494782775379736!,rebel-wine-beetle,0.190000,-0.926899,0.376157,-1.839498,0.785014,2.324600,5.245807,0.513804,1.203980,-0.007652,-0.011326,-0.005406,0.005887
221494782775379736!,rebel-wine-beetle,0.200000,-0.904833,0.428257,-1.834658,0.796259,2.094490,5.189431,0.461327,1.062943,-0.006675,-0.007085,-0.001112,0.005176
221494782775379736!,rebel-wine-beetle,0.210000,-0.885089,0.479755,-1.830281,0.806270,1.862874,5.129317,0.421483,0.956791,-0.005801,-0.002119,0.004240,0.004557
221494782775379736!,rebel-wine-beetle,0.220000,-0.867655,0.530560,-1.826226,0.815413,1.638163,5.065005,0.397734,0.890779,-0.004920,0.003583,0.010533,0.003943
221494782775379736!,rebel-wine-beetle,0.230000,-0.852419,0.580564,-1.822296,0.824157,1.429544,4.995913,0.393051,0.869075,-0.003941,0.009959,0.017578,0.003261
221494782775379736!,rebel-wine-beetle,0.240000,-0.839111,0.629862,-1.818252,0.833041,1.245218,4.921296,0.409465,0.893726,-0.002790,0.016899,0.025143,0.002451
221494782775379736!,rebel-wine-beetle,0.250000,-0.827442,0.678550,-1.813923,0.842427,1.092203,4.840540,0.448509,0.965733,-0.001410,0.024246,0.032956,0.001466
221494782775379736!,rebel-wine-beetle,0.260000,-0.817099,0.726466,-1.809093,0.852750,0.978321,4.753339,0.511288,1.084687,0.000221,0.031725,0.040639,0.000285
221494782775379736!,rebel-wine-beetle,0.270000,-0.807665,0.773494,-1.803517,0.864480,0.909683,4.659426,0.597950,1.247471,0.002089,0.039005,0.047780,-0.001087
221494782775379736!,rebel-wine-beetle,0.280000,-0.798669,0.819553,-1.796957,0.878035,0.889938,4.558516,0.707742,1.448441,0.004150,0.045731,0.053976,-0.002619
221494782775379736!,rebel-wine-beetle,0.290000,-0.789612,0.864564,-1.789186,0.893764,0.920013,4.450231,0.839078,1.679711,0.006330,0.051554,0.058863,-0.004259
221494782775379736!,rebel-wine-beetle,0.300000,-0.780002,0.908446,-1.779996,0.911929,0.997972,4.334048,0.989604,1.931610,0.008532,0.056166,0.062163,-0.005933
221494782775379736!,rebel-wine-beetle,0.310000,-0.769377,0.951113,-1.769207,0.932688,1.119134,4.209304,1.156284,2.193344,0.010646,0.059337,0.063711,-0.007559
221494782775379736!,rebel-wine-beetle,0.320000,-0.757331,0.992471,-1.756669,0.956092,1.276484,4.075300,1.335511,2.453792,0.012559,0.060935,0.063473,-0.009048
221494782775379736!,rebel-wine-beetle,0.330000,-0.743539,1.032415,-1.742272,0.982084,1.461308,3.931457,1.523249,2.702330,0.014167,0.060942,0.061549,-0.010320
221494782775379736!,rebel-wine-beetle,0.340000,-0.727763,1.070834,-1.725942,1.010507,1.663964,3.777527,1.715212,2.929574,0.015387,0.059441,0.058148,-0.011307
221494782775379736!,rebel-wine-beetle,0.350000,-0.709910,1.107650,-1.707690,1.041055,1.874619,3.613622,1.907020,3.128171,0.016165,0.056621,0.053576,-0.011963
221494782775379736!,rebel-wine-beetle,0.360000,-0.689978,1.142789,-1.687566,1.073369,2.084170,3.440466,2.094438,3.292904,0.016478,0.052721,0.048172,-0.012267
221494782775379736!,rebel-wine-beetle,0.370000,-0.668018,1.176165,-1.665630,1.107103,2.284771,3.259524,2.273617,3.420645,0.016328,0.048005,0.042272,-0.012217
221494782775379736!,rebel-wine-beetle,0.380000,-0.644149,1.207710,-1.641980,1.141886,2.470072,3.072818,2.441210,3.510349,0.015744,0.042739,0.036183,-0.011831
221494782775379736!,rebel-wine-beetle,0.390000,-0.618546,1.237377,-1.616742,1.177347,2.635381,2.882780,2.594487,3.562771,0.014776,0.037172,0.030169,-0.011146
221494782775379736!,rebel-wine-beetle,0.400000,-0.591423,1.265144,-1.590069,1.213129,2.777655,2.692069,2.731401,3.580095,0.013485,0.031519,0.024433,-0.010207
221494782775379736!,rebel-wine-beetle,0.410000,-0.563017,1.291017,-1.562129,1.248900,2.895358,2.503366,2.850584,3.565521,0.011940,0.025957,0.019118,-0.009066
221494782775379736!,rebel-wine-beetle,0.420000,-0.533574,1.315029,-1.533104,1.284365,2.988233,2.319207,2.951307,3.522877,0.010213,0.020620,0.014312,-0.007778
221494782775379736!,rebel-wine-beetle,0.430000,-0.503340,1.337232,-1.503178,1.319263,3.057026,2.141838,3.033402,3.456281,0.008370,0.015601,0.010055,-0.006393
221494782775379736!,rebel-wine-beetle,0.440000,-0.472549,1.357704,-1.472539,1.353376,3.103214,1.973128,3.097170,3.369872,0.006471,0.010959,0.006353,-0.004958
221494782775379736!,rebel-wine-beetle,0.450000,-0.441421,1.376534,-1.441371,1.386524,3.128760,1.814529,3.143278,3.267617,0.004567,0.006726,0.003184,-0.003514
221494782775379736!,rebel-wine-beetle,0.460000,-0.410159,1.393824,-1.409853,1.418561,3.135895,1.667069,3.172668,3.153193,0.002700,0.002912,0.000510,-0.002093
221494782775379736!,rebel-wine-beetle,0.470000,-0.378950,1.409683,-1.378162,1.449368,3.126957,1.531381,3.186474,3.029925,0.000902,-0.000489,-0.001714,-0.000720
221494782775379736!,rebel-wine-beetle,0.480000,-0.347953,1.424236,-1.346459,1.478867,3.104259,1.407717,3.185943,2.900695,-0.000802,-0.003492,-0.003538,0.000584
221494782775379736!,rebel-wine-beetle,0.490000,-0.317278,1.437626,-1.314866,1.507026,3.069973,1.295995,3.172367,2.767862,-0.002395,-0.006121,-0.005013,0.001806
221494782775379736!,rebel-wine-beetle,0.500000,-0.287092,1.449943,-1.283572,1.533767,3.026171,1.195996,3.147114,2.633743,-0.003868,-0.008398,-0.006179,0.002937
221494782775379736!,rebel-wine-beetle,0.510000,-0.257343,1.461369,-1.252546,1.559208,2.974553,1.107133,3.111436,2.499484,-0.005214,-0.010362,-0.007094,0.003973
221494782775379736!,rebel-wine-beetle,0.520000,-0.228137,1.471987,-1.221920,1.583323,2.916715,1.028856,3.066588,2.366620,-0.006432,-0.012037,-0.007790,0.004912
221494782775379736!,rebel-wine-beetle,0.530000,-0.199532,1.481895,-1.191785,1.606129,2.854051,0.960492,3.013787,2.236299,-0.007524,-0.013446,-0.008294,0.005755
221494782775379736!,rebel-wine-beetle,0.540000,-0.171572,1.491182,-1.162216,1.627653,2.787768,0.901305,2.954198,2.109427,-0.008493,-0.014614,-0.008635,0.006505
221494782775379736!,rebel-wine-beetle,0.550000,-0.144288,1.499935,-1.133276,1.647934,2.718905,0.850529,2.888929,1.986702,-0.009347,-0.015563,-0.008833,0.007166
221494782775379736!,rebel-wine-beetle,0.560000,-0.117756,1.508233,-1.105076,1.666976,2.648401,0.807381,2.819060,1.868818,-0.010091,-0.016311,-0.008902,0.007744
221494782775379736!,rebel-wine-beetle,0.570000,-0.091922,1.516147,-1.077585,1.684877,2.576964,0.771096,2.745556,1.755956,-0.010732,-0.016882,-0.008869,0.008242
221494782775379736!,rebel-wine-beetle,0.580000,-0.066796,1.523739,-1.050835,1.701689,2.505210,0.740928,2.669307,1.648363,-0.011276,-0.017295,-0.008746,0.008666
221494782775379736!,rebel-wine-beetle,0.590000,-0.042376,1.531065,-1.024850,1.717464,2.433659,0.716159,2.591135,1.546189,-0.011732,-0.017566,-0.008548,0.009023
221494782775379736!,rebel-wine-beetle,0.600000,-0.018659,1.538173,-0.999644,1.732256,2.362740,0.696108,2.511794,1.449497,-0.012107,-0.017711,-0.008285,0.009317
221494782775379736!,rebel-wine-beetle,0.610000,0.004363,1.545106,-0.975226,1.746120,2.292807,0.680134,2.431964,1.358276,-0.012408,-0.017744,-0.007966,0.009555
221494782775379736!,rebel-wine-beetle,0.620000,0.026700,1.551899,-0.951596,1.759109,2.224150,0.667639,2.352256,1.272461,-0.012642,-0.017681,-0.007603,0.009741
221494782775379736!,rebel-wine-beetle,0.630000,0.048367,1.558584,-0.928752,1.771276,2.157000,0.658069,2.273208,1.191935,-0.012815,-0.017533,-0.007204,0.009880
221494782775379736!,rebel-wine-beetle,0.640000,0.069380,1.565187,-0.906684,1.782673,2.091537,0.650915,2.195288,1.116544,-0.012934,-0.017312,-0.006777,0.009977
221494782775379736!,rebel-wine-beetle,0.650000,0.089754,1.571728,-0.885378,1.793350,2.027899,0.645713,2.118897,1.046101,-0.013006,-0.017032,-0.006329,0.010038
221494782775379736!,rebel-wine-beetle,0.660000,0.109510,1.578225,-0.864819,1.803355,1.966187,0.642043,2.044368,0.980399,-0.013035,-0.016702,-0.005869,0.010066
221494782775379736!,rebel-wine-beetle,0.670000,0.128665,1.584689,-0.844986,1.812733,1.906466,0.639530,1.971971,0.919213,-0.013027,-0.016333,-0.005402,0.010065
221494782775379736!,rebel-wine-beetle,0.680000,0.147241,1.591131,-0.825856,1.821527,1.848774,0.637841,1.901920,0.862305,-0.012988,-0.015934,-0.004935,0.010039
221494782775379736!,rebel-wine-beetle,0.690000,0.165256,1.597556,-0.807406,1.829780,1.793126,0.636683,1.834370,0.809431,-0.012921,-0.015513,-0.004473,0.009993
221494782775379736!,rebel-wine-beetle,0.700000,0.182731,1.603968,-0.789611,1.837529,1.739512,0.635804,1.769428,0.760347,-0.012832,-0.015079,-0.004020,0.009929
221494782775379736!,rebel-wine-beetle,0.710000,0.199685,1.610369,-0.772445,1.844811,1.687908,0.634987,1.707158,0.714807,-0.012724,-0.014638,-0.003580,0.009850
221494782775379736!,rebel-wine-beetle,0.720000,0.216139,1.616758,-0.755880,1.851660,1.638271,0.634051,1.647580,0.672571,-0.012602,-0.014196,-0.003158,0.009760
221494782775379736!,rebel-wine-beetle,0.730000,0.232110,1.623133,-0.739892,1.858107,1.590549,0.632849,1.590684,0.633405,-0.012469,-0.013759,-0.002755,0.009661
221494782775379736!,rebel-wine-beetle,0.740000,0.247617,1.629490,-0.724453,1.864180,1.544679,0.631261,1.536427,0.597083,-0.012327,-0.013332,-0.002373,0.009555
221494782775379736!,rebel-wine-beetle,0.750000,0.262678,1.635825,-0.709538,1.869908,1.500590,0.629195,1.484746,0.563388,-0.012180,-0.012917,-0.002015,0.009445
221494782775379736!,rebel-wine-beetle,0.760000,0.277310,1.642133,-0.695123,1.875314,1.458207,0.626585,1.435554,0.532117,-0.012031,-0.012518,-0.001680,0.009332
221494782775379736!,rebel-wine-beetle,0.770000,0.291530,1.648408,-0.681183,1.880423,1.417451,0.623383,1.388754,0.503076,-0.011880,-0.012137,-0.001370,0.009219
221494782775379736!,rebel-wine-beetle,0.780000,0.305352,1.654644,-0.667694,1.885254,1.378240,0.619564,1.344235,0.476084,-0.011731,-0.011776,-0.001085,0.009106
221494782775379736!,rebel-wine-beetle,0.790000,0.318791,1.660834,-0.654637,1.889828,1.340494,0.615116,1.301880,0.450972,-0.011585,-0.011437,-0.000823,0.008995
221494782775379736!,rebel-wine-beetle,0.800000,0.331862,1.666973,-0.641989,1.894162,1.304133,0.610042,1.261568,0.427584,-0.011442,-0.011119,-0.000585,0.008887
221494782775379736!,rebel-wine-beetle,0.810000,0.344577,1.673053,-0.629731,1.898273,1.269079,0.604357,1.223175,0.405775,-0.011304,-0.010823,-0.000369,0.008783
221494782775379736!,rebel-wine-beetle,0.820000,0.356949,1.679070,-0.617846,1.902174,1.235256,0.598083,1.186582,0.385414,-0.011173,-0.010549,-0.000174,0.008682
221494782775379736!,rebel-wine-beetle,0.830000,0.368990,1.685016,-0.606314,1.905881,1.202593,0.591252,1.151669,0.366378,-0.011047,-0.010297,0.000001,0.008587
221494782775379736!,rebel-wine-beetle,0.840000,0.380711,1.690888,-0.595122,1.909406,1.171021,0.583899,1.118321,0.348557,-0.010929,-0.010066,0.000157,0.008497
221494782775379736!,rebel-wine-beetle,0.850000,0.392122,1.696679,-0.584253,1.912759,1.140477,0.576065,1.086430,0.331851,-0.010817,-0.009854,0.000296,0.008412
221494782775379736!,rebel-wine-beetle,0.860000,0.403234,1.702386,-0.573694,1.915953,1.110901,0.567791,1.055893,0.316166,-0.010713,-0.009661,0.000419,0.008332
221494782775379736!,rebel-wine-beetle,0.870000,0.414056,1.708005,-0.563432,1.918996,1.082237,0.559121,1.026613,0.301422,-0.010616,-0.009487,0.000528,0.008258
221494782775379736!,rebel-wine-beetle,0.880000,0.424596,1.713531,-0.553454,1.921897,1.054436,0.550099,0.998500,0.287541,-0.010527,-0.009329,0.000624,0.008189
221494782775379736!,rebel-wine-beetle,0.890000,0.434868,1.718962,-0.543747,1.924666,1.027443,0.540769,0.971463,0.274453,-0.010444,-0.009186,0.000708,0.008126
221494782775379736!,rebel-wine-beetle,0.900000,0.444877,1.724296,-0.534299,1.927310,1.001215,0.531172,0.945427,0.262096,-0.010367,-0.009058,0.000781,0.008067
