ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
626213708657963265!,talented-zippy-butterfly,0.000000,-1.447293,2.291422,-1.510834,1.293443,-0.686910,0.726743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.480796,-0.137118,0.009273,-0.236290
626213708657963265!,talented-zippy-butterfly,0.010000,-1.440799,2.292130,-1.509739,1.294509,-0.685879,0.727716,1.296188,0.139510,0.219683,0.213901,0.206285,0.194425,-0.329469,-0.105036,0.027906,-0.105783
626213708657963265!,talented-zippy-butterfly,0.020000,-1.422944,2.293254,-1.507228,1.296812,-0.683260,0.730175,2.272659,0.079687,0.283721,0.247921,0.317618,0.297210,-0.227091,-0.082835,0.040178,-0.019008
626213708657963265!,talented-zippy-butterfly,0.030000,-1.396446,2.293018,-1.504573,1.298881,-0.679837,0.733363,3.024797,-0.134436,0.248676,0.167509,0.367272,0.340467,-0.159739,-0.067706,0.047770,0.036271
626213708657963265!,talented-zippy-butterfly,0.040000,-1.363212,2.290052,-1.502561,1.299809,-0.676109,0.736801,3.618445,-0.467422,0.155477,0.019892,0.378590,0.347405,-0.117297,-0.057519,0.051838,0.068671
626213708657963265!,talented-zippy-butterfly,0.050000,-1.324602,2.283304,-1.501620,1.299096,-0.672375,0.740210,4.097840,-0.891669,0.034458,-0.160834,0.368378,0.334619,-0.092561,-0.050693,0.053118,0.084055
626213708657963265!,talented-zippy-butterfly,0.060000,-1.281609,2.271956,-1.501921,1.296527,-0.668790,0.743451,4.491357,-1.384744,-0.091512,-0.349650,0.349054,0.314001,-0.080472,-0.046064,0.052035,0.086294
626213708657963265!,talented-zippy-butterfly,0.070000,-1.235001,2.255415,-1.503427,1.292114,-0.665398,0.746489,4.816028,-1.926359,-0.204781,-0.527300,0.330125,0.294264,-0.077431,-0.042771,0.048821,0.077963
626213708657963265!,talented-zippy-butterfly,0.080000,-1.185423,2.233294,-1.505939,1.286051,-0.662156,0.749366,5.080886,-2.496433,-0.291824,-0.678487,0.319025,0.281897,-0.080814,-0.040181,0.043608,0.060868
626213708657963265!,talented-zippy-butterfly,0.090000,-1.133463,2.205425,-1.509136,1.278673,-0.658955,0.752183,5.289724,-3.073955,-0.342587,-0.790814,0.321624,0.281761,-0.088618,-0.037832,0.036520,0.036470
626213708657963265!,talented-zippy-butterfly,0.100000,-1.079677,2.171848,-1.512615,1.270424,-0.655631,0.755082,5.443371,-3.636831,-0.350079,-0.854335,0.342507,0.297396,-0.099223,-0.035409,0.027746,0.006206
626213708657963265!,talented-zippy-butterfly,0.110000,-1.024616,2.132828,-1.515916,1.261838,-0.651981,0.758235,5.541693,-4.162647,-0.310260,-0.861727,0.385060,0.331100,-0.111254,-0.032727,0.017592,-0.028311
626213708657963265!,talented-zippy-butterfly,0.120000,-0.968862,2.088862,-1.518562,1.253499,-0.647782,0.761826,5.585182,-4.630144,-0.221982,-0.808813,0.451448,0.383868,-0.123534,-0.029719,0.006503,-0.065226
626213708657963265!,talented-zippy-butterfly,0.130000,-0.912958,2.040617,-1.520079,1.246008,-0.642794,0.766039,5.576018,-5.021158,-0.086521,-0.694695,0.542692,0.455380,-0.135085,-0.026427,-0.004960,-0.102503
626213708657963265!,talented-zippy-butterfly,0.140000,-0.857397,1.988920,-1.520014,1.239962,-0.636766,0.771057,5.518704,-5.322492,0.092767,-0.522061,0.658723,0.543997,-0.145151,-0.022969,-0.016167,-0.138086
626213708657963265!,talented-zippy-butterfly,0.150000,-0.802620,1.934706,-1.517951,1.235920,-0.629454,0.777038,5.420041,-5.527238,0.310934,-0.297159,0.798469,0.646814,-0.153227,-0.019513,-0.026505,-0.170121
626213708657963265!,talented-zippy-butterfly,0.160000,-0.748994,1.878946,-1.513527,1.234361,-0.620628,0.784106,5.288608,-5.635264,0.562124,-0.029241,0.960055,0.759893,-0.159073,-0.016238,-0.035457,-0.197173
626213708657963265!,talented-zippy-butterfly,0.170000,-0.696826,1.822545,-1.506471,1.235626,-0.610098,0.792326,5.133797,-5.652552,0.840218,0.270375,1.141009,0.878588,-0.162702,-0.013297,-0.042667,-0.218387
626213708657963265!,talented-zippy-butterfly,0.180000,-0.646302,1.766344,-1.496550,1.239962,-0.597690,0.801728,4.965097,-5.590147,1.139415,0.589352,1.338623,0.997946,-0.164304,-0.010795,-0.047969,-0.233505
626213708657963265!,talented-zippy-butterfly,0.190000,-0.597512,1.711074,-1.483573,1.247507,-0.583245,0.812297,4.791227,-5.462332,1.454579,0.915329,1.550149,1.113037,-0.164187,-0.008773,-0.051382,-0.242802
626213708657963265!,talented-zippy-butterfly,0.200000,-0.550463,1.657322,-1.467396,1.258282,-0.566634,0.823970,4.619525,-5.284705,1.781431,1.236805,1.772965,1.219246,-0.162713,-0.007221,-0.053070,-0.246958
626213708657963265!,talented-zippy-butterfly,0.210000,-0.505099,1.605522,-1.447912,1.272199,-0.547752,0.836641,4.455718,-5.072614,2.116581,1.543716,2.004693,1.312479,-0.160244,-0.006085,-0.053295,-0.246885
626213708657963265!,talented-zippy-butterfly,0.220000,-0.461315,1.555950,-1.425047,1.289077,-0.526516,0.850165,4.303790,-4.839490,2.457468,1.827942,2.243158,1.389213,-0.157092,-0.005291,-0.052347,-0.243536
626213708657963265!,talented-zippy-butterfly,0.230000,-0.418970,1.508775,-1.398743,1.308664,-0.502865,0.864365,4.166452,-4.597080,2.802098,2.082985,2.486474,1.446565,-0.153506,-0.004754,-0.050527,-0.237822
626213708657963265!,talented-zippy-butterfly,0.240000,-0.377902,1.464053,-1.368964,1.330652,-0.476751,0.879039,4.045207,-4.354582,3.148918,2.304103,2.732892,1.482196,-0.149655,-0.004392,-0.048095,-0.230504
626213708657963265!,talented-zippy-butterfly,0.250000,-0.337937,1.421759,-1.335685,1.354691,-0.448145,0.893961,3.940700,-4.118996,3.496582,2.487979,2.980725,1.494244,-0.145640,-0.004137,-0.045265,-0.222165
626213708657963265!,talented-zippy-butterfly,0.260000,-0.298894,1.381808,-1.298893,1.380404,-0.417034,0.908891,3.852946,-3.895448,3.843785,2.632449,3.228259,1.481247,-0.141503,-0.003936,-0.042200,-0.213214
626213708657963265!,talented-zippy-butterfly,0.270000,-0.260595,1.344068,-1.258588,1.407396,-0.383422,0.923573,3.781496,-3.687569,4.189121,2.736258,3.473660,1.442090,-0.137242,-0.003751,-0.039016,-0.203908
626213708657963265!,talented-zippy-butterfly,0.280000,-0.222867,1.308380,-1.214785,1.435261,-0.347332,0.937742,3.725549,-3.497864,4.530995,2.798865,3.714910,1.375972,-0.132822,-0.003560,-0.035796,-0.194384
626213708657963265!,talented-zippy-butterfly,0.290000,-0.185645,1.274458,-1.167611,1.463520,-0.308874,0.951103,3.683655,-3.327815,4.867409,2.820469,3.949816,1.282716,-0.128236,-0.003347,-0.032605,-0.184767
626213708657963265!,talented-zippy-butterfly,0.300000,-0.148834,1.242070,-1.117164,1.491745,-0.268147,0.963378,3.654346,-3.178326,5.196239,2.801699,4.176031,1.162360,-0.123437,-0.003110,-0.029481,-0.175072
626213708657963265!,talented-zippy-butterfly,0.310000,-0.112303,1.211024,-1.063519,1.519550,-0.225244,0.974302,3.636127,-3.049915,5.515232,2.743551,4.391001,1.015134,-0.118353,-0.002854,-0.026441,-0.165237
626213708657963265!,talented-zippy-butterfly,0.320000,-0.075942,1.181122,-1.006778,1.546559,-0.180284,0.983615,3.627264,-2.942759,5.821918,2.647428,4.591959,0.841646,-0.112920,-0.002589,-0.023494,-0.155185
626213708657963265!,talented-zippy-butterfly,0.330000,-0.039658,1.152163,-0.947068,1.572410,-0.133414,0.991060,3.625812,-2.856716,6.113675,2.515153,4.775985,0.642931,-0.107079,-0.002329,-0.020651,-0.144841
626213708657963265!,talented-zippy-butterfly,0.340000,-0.003378,1.123948,-0.884542,1.596759,-0.084814,0.996397,3.629653,-2.791314,6.387816,2.348992,4.940084,0.420503,-0.100784,-0.002090,-0.017920,-0.134138
626213708657963265!,talented-zippy-butterfly,0.350000,0.032945,1.096280,-0.819384,1.619285,-0.034693,0.999398,3.636551,-2.745738,6.641686,2.151663,5.081269,0.176390,-0.094001,-0.001888,-0.015314,-0.123024
626213708657963265!,talented-zippy-butterfly,0.360000,0.069338,1.068971,-0.751804,1.639694,0.016709,0.999860,3.644226,-2.718810,6.872763,1.926330,5.196675,-0.086842,-0.086711,-0.001737,-0.012843,-0.111466
626213708657963265!,talented-zippy-butterfly,0.370000,0.105801,1.041846,-0.682038,1.657727,0.069123,0.997608,3.650428,-2.708983,7.078770,1.676576,5.283672,-0.366101,-0.078909,-0.001654,-0.010523,-0.099454
626213708657963265!,talented-zippy-butterfly,0.380000,0.142313,1.014743,-0.610344,1.673157,0.122257,0.992498,3.653032,-2.714350,7.257776,1.406361,5.339979,-0.657785,-0.070610,-0.001650,-0.008366,-0.086997
626213708657963265!,talented-zippy-butterfly,0.390000,0.178830,0.987526,-0.536996,1.685804,0.175794,0.984427,3.650136,-2.732669,7.408308,1.119952,5.363787,-0.957840,-0.061842,-0.001736,-0.006385,-0.074127
626213708657963265!,talented-zippy-butterfly,0.400000,0.215294,0.960078,-0.462285,1.695528,0.229403,0.973331,3.640130,-2.761434,7.529417,0.821815,5.353857,-1.261844,-0.052656,-0.001917,-0.004588,-0.060900
626213708657963265!,talented-zippy-butterfly,0.410000,0.251628,0.932310,-0.386506,1.702236,0.282742,0.959196,3.621763,-2.797952,7.620736,0.516498,5.309607,-1.565110,-0.043118,-0.002197,-0.002982,-0.047392
626213708657963265!,talented-zippy-butterfly,0.420000,0.287745,0.904162,-0.309956,1.705881,0.335464,0.942053,3.594187,-2.839437,7.682506,0.208504,5.231180,-1.862820,-0.033313,-0.002576,-0.001567,-0.033696
626213708657963265!,talented-zippy-butterfly,0.430000,0.323553,0.875599,-0.232927,1.706460,0.387231,0.921983,3.556981,-2.883124,7.715579,-0.097847,5.119470,-2.150167,-0.023339,-0.003049,-0.000339,-0.019923
626213708657963265!,talented-zippy-butterfly,0.440000,0.358955,0.846616,-0.155702,1.704012,0.437712,0.899115,3.510147,-2.926371,7.721380,-0.398554,4.976125,-2.422505,-0.013308,-0.003609,0.000713,-0.006193
626213708657963265!,talented-zippy-butterfly,0.450000,0.393857,0.817234,-0.078545,1.698618,0.486599,0.873625,3.454069,-2.966764,7.701847,-0.690054,4.803509,-2.675500,-0.003339,-0.004244,0.001605,0.007367
626213708657963265!,talented-zippy-butterfly,0.460000,0.428169,0.787496,-0.001699,1.690387,0.533610,0.845731,3.389467,-3.002206,7.659332,-0.969319,4.604628,-2.905266,0.006445,-0.004941,0.002357,0.020632
626213708657963265!,talented-zippy-butterfly,0.470000,0.461809,0.757465,0.074616,1.679463,0.578493,0.815688,3.317312,-3.030979,7.596495,-1.233934,4.383032,-3.108484,0.015926,-0.005686,0.002996,0.033479
626213708657963265!,talented-zippy-butterfly,0.480000,0.494708,0.727221,0.150208,1.666007,0.621036,0.783782,3.238742,-3.051784,7.516171,-1.482127,4.142691,-3.282494,0.024989,-0.006463,0.003548,0.045800
626213708657963265!,talented-zippy-butterfly,0.490000,0.526804,0.696855,0.224916,1.650198,0.661068,0.750326,3.154971,-3.063750,7.421246,-1.712779,3.887848,-3.425355,0.033535,-0.007256,0.004044,0.057497
626213708657963265!,talented-zippy-butterfly,0.500000,0.558008,0.666390,0.298601,1.632158,0.698508,0.715602,3.067206,-3.066098,7.314457,-1.925282,3.622621,-3.536083,0.041471,-0.008050,0.004508,0.068481
626213708657963265!,talented-zippy-butterfly,0.510000,0.588290,0.635918,0.371165,1.612062,0.733279,0.679928,2.976667,-3.058759,7.198482,-2.119693,3.351287,-3.614244,0.048739,-0.008833,0.004968,0.078707
