ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
2075834566211221747!,talented-ruddy-butterfly,0.000000,-1.806083,-1.588326,-1.644270,-0.601505,-0.656073,-0.754697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334346,0.247410,-0.003416
2075834566211221747!,talented-ruddy-butterfly,0.010000,-1.805877,-1.581110,-1.645058,-0.594126,-0.657792,-0.753200,0.042417,1.441994,-0.154886,1.474142,-0.344001,0.300427,0.283989,0.193464,-0.013748
2075834566211221747!,talented-ruddy-butterfly,0.020000,-1.804694,-1.560770,-1.646950,-0.573290,-0.662516,-0.749048,0.197936,2.624065,-0.216315,2.690239,-0.601619,0.532119,0.243173,0.149691,-0.022007
2075834566211221747!,talented-ruddy-butterfly,0.030000,-1.801459,-1.529645,-1.648989,-0.541337,-0.669497,-0.742815,0.454258,3.595925,-0.182171,3.694109,-0.794705,0.716264,0.209690,0.114945,-0.027755
2075834566211221747!,talented-ruddy-butterfly,0.040000,-1.795277,-1.489639,-1.650258,-0.500211,-0.678185,-0.734891,0.789230,4.395333,-0.060405,4.519862,-0.941779,0.869110,0.181582,0.087791,-0.030980
2075834566211221747!,talented-ruddy-butterfly,0.050000,-1.785461,-1.442338,-1.649929,-0.451565,-0.688190,-0.725531,1.177803,5.049436,0.136127,5.191931,-1.057209,1.002798,0.157270,0.066882,-0.031853
2075834566211221747!,talented-ruddy-butterfly,0.060000,-1.771599,-1.389090,-1.647329,-0.396841,-0.699251,-0.714877,1.594169,5.577476,0.391729,5.728071,-1.151829,1.126651,0.135574,0.051066,-0.030649
2075834566211221747!,talented-ruddy-butterfly,0.070000,-1.753535,-1.331078,-1.641949,-0.337324,-0.711202,-0.702987,2.013994,5.993093,0.689549,6.141811,-1.233230,1.247641,0.115720,0.039413,-0.027698
2075834566211221747!,talented-ruddy-butterfly,0.080000,-1.731355,-1.269379,-1.633454,-0.274183,-0.723942,-0.689861,2.415642,6.306624,1.012635,6.444642,-1.306276,1.370811,0.097289,0.031182,-0.023371
2075834566211221747!,talented-ruddy-butterfly,0.090000,-1.705358,-1.205008,-1.621681,-0.208515,-0.737396,-0.675461,2.781195,6.526985,1.344865,6.647596,-1.373571,1.499517,0.080149,0.025768,-0.018072
2075834566211221747!,talented-ruddy-butterfly,0.100000,-1.675992,-1.138861,-1.606619,-0.141270,-0.751511,-0.659720,3.096840,6.663163,1.671865,6.762257,-1.436175,1.635998,0.064367,0.022635,-0.012224
2075834566211221747!,talented-ruddy-butterfly,0.110000,-1.643817,-1.071738,-1.588387,-0.073275,-0.766242,-0.642553,3.353502,6.724934,1.981790,6.801086,-1.493920,1.781494,0.050107,0.021295,-0.006241
2075834566211221747!,talented-ruddy-butterfly,0.120000,-1.609453,-1.004335,-1.567207,-0.005228,-0.781531,-0.623866,3.546922,6.723057,2.265858,6.777225,-1.545772,1.936424,0.037554,0.021301,-0.000488
2075834566211221747!,talented-ruddy-butterfly,0.130000,-1.573472,-0.937274,-1.543343,0.062272,-0.797282,-0.603606,3.677078,6.668928,2.518414,6.703854,-1.590225,2.100473,0.026844,0.022253,0.004742
2075834566211221747!,talented-ruddy-butterfly,0.140000,-1.536465,-0.870998,-1.517113,0.128815,-0.813415,-0.581684,3.747774,6.574299,2.737057,6.593862,-1.625500,2.273064,0.018018,0.023795,0.009252
2075834566211221747!,talented-ruddy-butterfly,0.150000,-1.498987,-0.805839,-1.488852,0.194109,-0.829831,-0.558015,3.765697,6.450437,2.922125,6.458987,-1.649620,2.453167,0.011019,0.025633,0.012940
2075834566211221747!,talented-ruddy-butterfly,0.160000,-1.461522,-0.742031,-1.458883,0.257965,-0.846412,-0.532528,3.739262,6.307561,3.076038,6.309312,-1.660597,2.639391,0.005700,0.027540,0.015794
2075834566211221747!,talented-ruddy-butterfly,0.170000,-1.424473,-0.679714,-1.427500,0.320281,-0.863022,-0.505167,3.677554,6.154441,3.202612,6.153004,-1.656574,2.830076,0.001851,0.029352,0.017866
2075834566211221747!,talented-ruddy-butterfly,0.180000,-1.388153,-0.618952,-1.394957,0.381025,-0.879503,-0.475893,3.589481,5.998188,3.306404,5.996262,-1.635916,3.023356,-0.000770,0.030954,0.019254
2075834566211221747!,talented-ruddy-butterfly,0.190000,-1.352791,-0.559747,-1.361460,0.440215,-0.895685,-0.444688,3.483188,5.844224,3.392186,5.843435,-1.597272,3.217205,-0.002409,0.032274,0.020078
2075834566211221747!,talented-ruddy-butterfly,0.200000,-1.318543,-0.502054,-1.327170,0.497909,-0.911385,-0.411554,3.365750,5.696403,3.464578,5.697256,-1.539609,3.409461,-0.003301,0.033268,0.020462
2075834566211221747!,talented-ruddy-butterfly,0.210000,-1.285497,-0.445798,-1.292204,0.554180,-0.926410,-0.376516,3.242905,5.557175,3.527726,5.559085,-1.462258,3.597857,-0.003646,0.033914,0.020524
2075834566211221747!,talented-ruddy-butterfly,0.220000,-1.253693,-0.390884,-1.256641,0.609112,-0.940562,-0.339621,3.119198,5.427851,3.585234,5.429225,-1.364911,3.780043,-0.003616,0.034202,0.020367
2075834566211221747!,talented-ruddy-butterfly,0.230000,-1.223130,-0.337208,-1.220524,0.662789,-0.953643,-0.300941,2.998014,5.308827,3.640077,5.307154,-1.247642,3.953618,-0.003345,0.034133,0.020078
2075834566211221747!,talented-ruddy-butterfly,0.240000,-1.193779,-0.284666,-1.183874,0.715285,-0.965455,-0.260570,2.881697,5.199814,3.694575,5.191762,-1.110930,4.116177,-0.002936,0.033713,0.019725
2075834566211221747!,talented-ruddy-butterfly,0.250000,-1.165580,-0.233163,-1.146683,0.766659,-0.975807,-0.218634,2.771715,5.100042,3.750424,5.081544,-0.955678,4.265380,-0.002466,0.032953,0.019358
2075834566211221747!,talented-ruddy-butterfly,0.260000,-1.138421,-0.182622,-1.108909,0.816942,-0.984517,-0.175291,2.668766,5.008418,3.808713,4.974761,-0.783247,4.399084,-0.001992,0.031872,0.019016
2075834566211221747!,talented-ruddy-butterfly,0.270000,-1.112238,-0.132968,-1.070528,0.866162,-0.991421,-0.130705,2.573079,4.923703,3.870058,4.869560,-0.595265,4.515211,-0.001552,0.030491,0.018723
2075834566211221747!,talented-ruddy-butterfly,0.280000,-1.086962,-0.084137,-1.031511,0.914325,-0.996376,-0.085058,2.484445,4.844614,3.934606,4.764078,-0.393705,4.611908,-0.001172,0.028835,0.018492
2075834566211221747!,talented-ruddy-butterfly,0.290000,-1.062532,-0.036076,-0.991830,0.961421,-0.999257,-0.038551,2.402328,4.769921,4.002098,4.656530,-0.180846,4.687597,-0.000868,0.026932,0.018329
2075834566211221747!,talented-ruddy-butterfly,0.300000,-1.038892,0.011254,-0.951461,1.007424,-0.999963,0.008601,2.325974,4.698520,4.071920,4.545281,0.040779,4.741032,-0.000649,0.024813,0.018233
2075834566211221747!,talented-ruddy-butterfly,0.310000,-1.015996,0.057883,-0.910387,1.052291,-0.998421,0.056173,2.254499,4.629477,4.143174,4.428895,0.268446,4.771331,-0.000518,0.022514,0.018197
2075834566211221747!,talented-ruddy-butterfly,0.320000,-0.993805,0.103834,-0.868605,1.095965,-0.994584,0.103932,2.186966,4.562090,4.214737,4.306199,0.499296,4.778028,-0.000476,0.020071,0.018209
2075834566211221747!,talented-ruddy-butterfly,0.330000,-0.972292,0.149120,-0.826119,1.138379,-0.988436,0.151641,2.122465,4.495882,4.285333,4.176297,0.730419,4.761074,-0.000517,0.017518,0.018256
2075834566211221747!,talented-ruddy-butterfly,0.340000,-0.951437,0.193753,-0.782951,1.179457,-0.979987,0.199061,2.060179,4.430600,4.353597,4.038587,0.958927,4.720835,-0.000635,0.014892,0.018322
2075834566211221747!,talented-ruddy-butterfly,0.350000,-0.931228,0.237743,-0.739134,1.219119,-0.969279,0.245963,1.999425,4.366192,4.418138,3.892753,1.182026,4.658074,-0.000820,0.012225,0.018393
