ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
2067172537415156765!,great-wine-beetle,0.000000,0.432980,-0.963854,-1.064113,-1.057197,0.000000,0.000000,0.000000,0.000000,-0.223109,-0.113511,0.121793,0.174786
2067172537415156765!,great-wine-beetle,0.010000,0.430124,-0.956136,-1.066638,-1.054648,-0.570899,1.539472,-0.503062,0.508781,-0.162886,-0.061928,0.115922,0.127911
2067172537415156765!,great-wine-beetle,0.020000,0.421621,-0.935290,-1.074219,-1.046926,-1.129105,2.629099,-1.010254,1.036591,-0.122478,-0.030617,0.107727,0.096410
2067172537415156765!,great-wine-beetle,0.030000,0.407732,-0.905051,-1.086720,-1.033943,-1.643986,3.415686,-1.483908,1.559653,-0.094455,-0.011711,0.098424,0.074524
2067172537415156765!,great-wine-beetle,0.040000,0.388998,-0.867980,-1.103701,-1.015797,-2.093028,3.993170,-1.902276,2.066893,-0.074134,-0.000060,0.089023,0.058623
2067172537415156765!,great-wine-beetle,0.050000,0.366139,-0.825870,-1.124560,-0.992656,-2.464103,4.421734,-2.255236,2.554912,-0.058674,0.007474,0.080155,0.046507
2067172537415156765!,great-wine-beetle,0.060000,0.339959,-0.780020,-1.148629,-0.964703,-2.752854,4.740455,-2.539922,3.024171,-0.046400,0.012704,0.072147,0.036876
2067172537415156765!,great-wine-beetle,0.070000,0.311281,-0.731406,-1.175230,-0.932112,-2.959829,4.975447,-2.757467,3.476683,-0.036336,0.016634,0.065119,0.028975
2067172537415156765!,great-wine-beetle,0.080000,0.280913,-0.680782,-1.203707,-0.895036,-3.088401,5.144855,-2.910877,3.914748,-0.027911,0.019794,0.059068,0.022358
2067172537415156765!,great-wine-beetle,0.090000,0.249618,-0.628750,-1.233432,-0.853607,-3.143449,5.261788,-3.003734,4.340293,-0.020777,0.022450,0.053917,0.016755
2067172537415156765!,great-wine-beetle,0.100000,0.218111,-0.575795,-1.263816,-0.807941,-3.130585,5.336004,-3.039493,4.754510,-0.014708,0.024720,0.049550,0.011989
2067172537415156765!,great-wine-beetle,0.110000,0.187045,-0.522316,-1.294300,-0.758148,-3.055723,5.374850,-3.021146,5.157659,-0.009543,0.026647,0.045826,0.007932
2067172537415156765!,great-wine-beetle,0.120000,0.157017,-0.468648,-1.324350,-0.704342,-2.924873,5.383792,-2.951149,5.548940,-0.005152,0.028233,0.042595,0.004483
2067172537415156765!,great-wine-beetle,0.130000,0.128561,-0.415078,-1.353455,-0.646652,-2.744062,5.366737,-2.831516,5.926424,-0.001427,0.029464,0.039705,0.001556
2067172537415156765!,great-wine-beetle,0.140000,0.102151,-0.361860,-1.381125,-0.585230,-2.519344,5.326253,-2.664029,6.287028,0.001728,0.030314,0.037008,-0.000927
2067172537415156765!,great-wine-beetle,0.150000,0.078197,-0.309228,-1.406883,-0.520270,-2.256861,5.263776,-2.450524,6.626560,0.004399,0.030757,0.034369,-0.003033
2067172537415156765!,great-wine-beetle,0.160000,0.057050,-0.257393,-1.430269,-0.452029,-1.962970,5.179764,-2.193299,6.939835,0.006654,0.030762,0.031666,-0.004816
2067172537415156765!,great-wine-beetle,0.170000,0.038991,-0.206541,-1.450848,-0.380843,-1.644279,5.073901,-1.895465,7.220906,0.008544,0.030298,0.028796,-0.006318
2067172537415156765!,great-wine-beetle,0.180000,0.024231,-0.156883,-1.468231,-0.307081,-1.307581,4.945635,-1.560952,7.463302,0.010115,0.029346,0.025681,-0.007574
2067172537415156765!,great-wine-beetle,0.190000,0.012908,-0.108639,-1.482079,-0.231178,-0.959960,4.794295,-1.194884,7.660385,0.011399,0.027893,0.022264,-0.008610
2067172537415156765!,great-wine-beetle,0.200000,0.005089,-0.062032,-1.492112,-0.153632,-0.608757,4.619388,-0.803700,7.805751,0.012418,0.025937,0.018518,-0.009444
2067172537415156765!,great-wine-beetle,0.210000,0.000766,-0.017293,-1.498124,-0.074998,-0.261468,4.420861,-0.395166,7.893669,0.013183,0.023487,0.014439,-0.010085
2067172537415156765!,great-wine-beetle,0.220000,-0.000145,0.025353,-1.499994,0.004120,0.074417,4.199339,0.021751,7.919511,0.013700,0.020565,0.010050,-0.010536
2067172537415156765!,great-wine-beetle,0.230000,0.002202,0.065688,-1.497697,0.083083,0.391636,3.956286,0.437142,7.880141,0.013968,0.017204,0.005395,-0.010796
2067172537415156765!,great-wine-beetle,0.240000,0.007580,0.103516,-1.491309,0.161236,0.683405,3.694099,0.840525,7.774211,0.013986,0.013455,0.000539,-0.010865
2067172537415156765!,great-wine-beetle,0.250000,0.015702,0.138666,-1.481011,0.237923,0.943692,3.416098,1.221313,7.602354,0.013752,0.009377,-0.004438,-0.010739
2067172537415156765!,great-wine-beetle,0.260000,0.026226,0.171005,-1.467085,0.312510,1.167469,3.126440,1.569323,7.367215,0.013269,0.005042,-0.009448,-0.010420
2067172537415156765!,great-wine-beetle,0.270000,0.038768,0.200444,-1.449909,0.384400,1.350928,2.829935,1.875286,7.073346,0.012544,0.000530,-0.014394,-0.009912
2067172537415156765!,great-wine-beetle,0.280000,0.052915,0.226944,-1.429945,0.453052,1.491633,2.531808,2.131313,6.726955,0.011589,-0.004076,-0.019184,-0.009223
2067172537415156765!,great-wine-beetle,0.290000,0.068237,0.250517,-1.407722,0.517994,1.588590,2.237417,2.331260,6.335528,0.010419,-0.008691,-0.023728,-0.008366
2067172537415156765!,great-wine-beetle,0.300000,0.084302,0.271226,-1.383818,0.578832,1.642225,1.951966,2.470980,5.907392,0.009058,-0.013233,-0.027949,-0.007355
2067172537415156765!,great-wine-beetle,0.310000,0.100691,0.289184,-1.358842,0.635255,1.654289,1.680239,2.548431,5.451217,0.007530,-0.017630,-0.031781,-0.006210
2067172537415156765!,great-wine-beetle,0.320000,0.117005,0.304546,-1.333410,0.687036,1.627685,1.426376,2.563642,4.975551,0.005860,-0.021818,-0.035174,-0.004950
2067172537415156765!,great-wine-beetle,0.330000,0.132880,0.317506,-1.308129,0.734028,1.566239,1.193715,2.518562,4.488388,0.004076,-0.025746,-0.038094,-0.003596
2067172537415156765!,great-wine-beetle,0.340000,0.147995,0.328284,-1.283581,0.776157,1.474454,0.984704,2.416807,3.996826,0.002202,-0.029378,-0.040526,-0.002167
2067172537415156765!,great-wine-beetle,0.350000,0.162072,0.337122,-1.260302,0.813412,1.357243,0.800885,2.263342,3.506825,0.000262,-0.032693,-0.042467,-0.000681
2067172537415156765!,great-wine-beetle,0.360000,0.174884,0.344272,-1.238777,0.845832,1.219680,0.642942,2.064136,3.023062,-0.001727,-0.035682,-0.043931,0.000849
2067172537415156765!,great-wine-beetle,0.370000,0.186253,0.349988,-1.219428,0.873496,1.066781,0.510800,1.825814,2.548892,-0.003749,-0.038352,-0.044943,0.002409
2067172537415156765!,great-wine-beetle,0.380000,0.196051,0.354522,-1.202608,0.896512,0.903316,0.403755,1.555349,2.086392,-0.005793,-0.040717,-0.045536,0.003991
2067172537415156765!,great-wine-beetle,0.390000,0.204200,0.358120,-1.188592,0.915014,0.733664,0.320617,1.259785,1.636445,-0.007849,-0.042801,-0.045752,0.005586
2067172537415156765!,great-wine-beetle,0.400000,0.210656,0.361008,-1.177599,0.929118,0.561685,0.259881,0.945990,1.198984,-0.009913,-0.044634,-0.045635,0.007192
2067172537415156765!,great-wine-beetle,0.410000,0.215406,0.363399,-1.169786,0.938936,0.390680,0.219877,0.620547,0.773116,-0.011984,-0.046250,-0.045230,0.008807
2067172537415156765!,great-wine-beetle,0.420000,0.218473,0.365489,-1.165242,0.944569,0.223350,0.198899,0.289646,0.357314,-0.014062,-0.047685,-0.044582,0.010429
2067172537415156765!,great-wine-beetle,0.430000,0.219898,0.367459,-1.164000,0.946099,0.061772,0.195304,-0.040959,-0.050393,-0.016147,-0.048972,-0.043736,0.012059
