ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
2058763456426554963!,thoughtful-antique-butterfly,0.000000,-1.678463,-1.459950,-0.808369,0.340866,-0.310944,0.391553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.084974,-0.215261,0.056010,0.139436,0.011665,-0.284591
2058763456426554963!,thoughtful-antique-butterfly,0.010000,-1.665679,-1.464225,-0.807355,0.342231,-0.309878,0.392397,2.556439,-0.847226,0.202151,0.271395,0.212590,0.167883,-0.052208,-0.105184,-0.000680,0.080198,-0.024666,-0.149714
2058763456426554963!,thoughtful-antique-butterfly,0.020000,-1.633527,-1.473772,-0.804515,0.346322,-0.306867,0.394757,3.875744,-1.053565,0.366083,0.545007,0.389648,0.302895,-0.036046,-0.053401,-0.026160,0.051632,-0.040469,-0.086087
2058763456426554963!,thoughtful-antique-butterfly,0.030000,-1.591096,-1.483848,-0.800133,0.353100,-0.302185,0.398352,4.610481,-0.956777,0.510898,0.808444,0.546680,0.414704,-0.027385,-0.028606,-0.036717,0.037060,-0.046256,-0.055272
2058763456426554963!,thoughtful-antique-butterfly,0.040000,-1.542745,-1.492268,-0.794352,0.362431,-0.295998,0.402971,5.057511,-0.726253,0.645484,1.054054,0.690000,0.506832,-0.022204,-0.016308,-0.040319,0.028962,-0.047356,-0.039610
2058763456426554963!,thoughtful-antique-butterfly,0.050000,-1.490670,-1.498100,-0.787250,0.374118,-0.288428,0.408423,5.354276,-0.442631,0.774521,1.278050,0.822469,0.580828,-0.018676,-0.009795,-0.040728,0.023892,-0.046315,-0.030943
2058763456426554963!,thoughtful-antique-butterfly,0.060000,-1.436055,-1.501002,-0.778869,0.387941,-0.279576,0.414532,5.565019,-0.143985,0.900613,1.478818,0.945413,0.637623,-0.015957,-0.005957,-0.039696,0.020260,-0.044324,-0.025497
2058763456426554963!,thoughtful-antique-butterfly,0.070000,-1.379612,-1.500918,-0.769229,0.403664,-0.269534,0.421131,5.719992,0.151296,1.025211,1.655887,1.059391,0.678037,-0.013666,-0.003362,-0.038038,0.017335,-0.041938,-0.021530
2058763456426554963!,thoughtful-antique-butterfly,0.080000,-1.321832,-1.497925,-0.758342,0.421053,-0.258391,0.428059,5.833706,0.433822,1.149075,1.809422,1.164579,0.702979,-0.011634,-0.001360,-0.036135,0.014793,-0.039420,-0.018257
2058763456426554963!,thoughtful-antique-butterfly,0.090000,-1.263095,-1.492179,-0.746211,0.439875,-0.246233,0.435166,5.913515,0.698376,1.272535,1.939981,1.260983,0.713512,-0.009792,0.000338,-0.034167,0.012496,-0.036902,-0.015332
