ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
1706660177897678052!,thoughtful-antique-butterfly,0.000000,-2.081594,-0.077920,-0.215482,0.641542,-0.456684,0.203568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037797,-0.268620,0.153653,0.066814,0.105597,-0.427067
1706660177897678052!,thoughtful-antique-butterfly,0.010000,-2.074431,-0.093097,-0.214018,0.640977,-0.456597,0.203763,1.440817,-3.027396,0.291153,-0.113721,0.017105,0.038329,0.003670,-0.123889,0.046428,0.044157,0.022231,-0.202122
1706660177897678052!,thoughtful-antique-butterfly,0.020000,-2.055825,-0.129985,-0.209898,0.639790,-0.456195,0.204660,2.290610,-4.343815,0.531229,-0.124805,0.062928,0.140268,-0.012374,-0.058852,-0.001635,0.034403,-0.015103,-0.100294
1706660177897678052!,thoughtful-antique-butterfly,0.030000,-2.030005,-0.176144,-0.203533,0.638718,-0.455269,0.206712,2.879269,-4.883861,0.740908,-0.090831,0.122402,0.269582,-0.020233,-0.029245,-0.022973,0.030214,-0.031514,-0.053026
1706660177897678052!,thoughtful-antique-butterfly,0.040000,-1.998922,-0.225925,-0.195178,0.638082,-0.453712,0.210109,3.338651,-5.069311,0.928636,-0.038042,0.189230,0.408625,-0.024386,-0.015429,-0.032350,0.028460,-0.038547,-0.030094
1706660177897678052!,thoughtful-antique-butterfly,0.050000,-1.963585,-0.276725,-0.185030,0.638010,-0.451458,0.214908,3.727215,-5.088959,1.098850,0.021468,0.261286,0.548885,-0.026835,-0.008664,-0.036384,0.027759,-0.041389,-0.018072
1706660177897678052!,thoughtful-antique-butterfly,0.060000,-1.924569,-0.327309,-0.173247,0.638544,-0.448458,0.221100,4.072181,-5.027286,1.254408,0.082011,0.338228,0.686027,-0.028457,-0.005051,-0.038018,0.027488,-0.042345,-0.010978
1706660177897678052!,thoughtful-antique-butterfly,0.070000,-1.882249,-0.377050,-0.159966,0.639680,-0.444659,0.228645,4.386405,-4.922320,1.397461,0.140783,0.420378,0.817535,-0.029631,-0.002847,-0.038552,0.027352,-0.042428,-0.006142
1706660177897678052!,thoughtful-antique-butterfly,0.080000,-1.836903,-0.425603,-0.145301,0.641393,-0.440006,0.237476,4.675909,-4.791508,1.529819,0.196263,0.508215,0.941642,-0.030507,-0.001275,-0.038558,0.027209,-0.042082,-0.002380
1706660177897678052!,thoughtful-antique-butterfly,0.090000,-1.788767,-0.472747,-0.129351,0.643649,-0.434438,0.247515,4.943401,-4.643253,1.653099,0.247465,0.602139,1.056874,-0.031136,0.000013,-0.038280,0.026983,-0.041493,0.000827
1706660177897678052!,thoughtful-antique-butterfly,0.100000,-1.738055,-0.518328,-0.112199,0.646400,-0.427892,0.258666,5.189942,-4.482054,1.768770,0.293596,0.702362,1.161865,-0.031528,0.001174,-0.037825,0.026630,-0.040739,0.003705
1706660177897678052!,thoughtful-antique-butterfly,0.110000,-1.684981,-0.562225,-0.093915,0.649595,-0.420304,0.270821,5.415732,-4.310796,1.878147,0.333895,0.808851,1.255307,-0.031678,0.002277,-0.037233,0.026122,-0.039851,0.006350
1706660177897678052!,thoughtful-antique-butterfly,0.120000,-1.629755,-0.604345,-0.074555,0.653173,-0.411612,0.283859,5.620490,-4.131773,1.982368,0.367573,0.921311,1.335954,-0.031574,0.003353,-0.036522,0.025443,-0.038839,0.008797
1706660177897678052!,thoughtful-antique-butterfly,0.130000,-1.572597,-0.644615,-0.054166,0.657064,-0.401755,0.297645,5.803645,-3.947133,2.082365,0.393805,1.039177,1.402659,-0.031213,0.004416,-0.035701,0.024585,-0.037709,0.011061
1706660177897678052!,thoughtful-antique-butterfly,0.140000,-1.513732,-0.682982,-0.032788,0.661191,-0.390684,0.312035,5.964458,-3.759065,2.178833,0.411753,1.161629,1.454420,-0.030595,0.005469,-0.034776,0.023549,-0.036469,0.013144
1706660177897678052!,thoughtful-antique-butterfly,0.150000,-1.453397,-0.719417,-0.010452,0.665469,-0.378356,0.326874,6.102128,-3.569859,2.272223,0.420607,1.287630,1.490428,-0.029731,0.006509,-0.033756,0.022344,-0.035129,0.015044
1706660177897678052!,thoughtful-antique-butterfly,0.160000,-1.391835,-0.753913,0.012811,0.669803,-0.364740,0.342001,6.215894,-3.381896,2.362747,0.419637,1.415962,1.510110,-0.028639,0.007528,-0.032651,0.020988,-0.033700,0.016757
1706660177897678052!,thoughtful-antique-butterfly,0.170000,-1.329293,-0.786519,0.036962,0.674080,-0.349832,0.357236,6.305214,-3.197629,2.450330,0.408260,1.545218,1.513195,-0.027350,0.008522,-0.031479,0.019506,-0.032204,0.018288
1706660177897678052!,thoughtful-antique-butterfly,0.180000,-1.266011,-0.817312,0.061961,0.678177,-0.333642,0.372402,6.369732,-3.019417,2.534680,0.386052,1.673913,1.499688,-0.025901,0.009478,-0.030257,0.017929,-0.030661,0.019638
1706660177897678052!,thoughtful-antique-butterfly,0.190000,-1.202232,-0.846376,0.087774,0.681984,-0.316183,0.387335,6.409324,-2.849463,2.615394,0.352787,1.800604,1.469844,-0.024333,0.010379,-0.028999,0.016294,-0.029093,0.020798
1706660177897678052!,thoughtful-antique-butterfly,0.200000,-1.138195,-0.873811,0.114362,0.685388,-0.297487,0.401873,6.424252,-2.689810,2.691969,0.308457,1.923910,1.424176,-0.022692,0.011207,-0.027724,0.014642,-0.027522,0.021767
1706660177897678052!,thoughtful-antique-butterfly,0.210000,-1.074136,-0.899735,0.141681,0.688280,-0.277592,0.415864,6.415191,-2.542258,2.763854,0.253280,2.042557,1.363421,-0.021021,0.011946,-0.026446,0.013010,-0.025968,0.022544
1706660177897678052!,thoughtful-antique-butterfly,0.220000,-1.010280,-0.924281,0.169683,0.690553,-0.256551,0.429164,6.383222,-2.408304,2.830493,0.187684,2.155417,1.288495,-0.019364,0.012585,-0.025181,0.011434,-0.024449,0.023135
1706660177897678052!,thoughtful-antique-butterfly,0.230000,-0.946842,-0.947592,0.198315,0.692108,-0.234426,0.441638,6.329787,-2.289103,2.891351,0.112282,2.261526,1.200443,-0.017757,0.013114,-0.023938,0.009943,-0.022981,0.023550
