ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
1911036789567798620!,talented-antique-butterfly,0.000000,1.552669,0.520539,0.566373,0.355552,0.784269,-0.620420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.396831,0.110067,-0.300500,0.259708,-0.301372,0.354356
1911036789567798620!,talented-antique-butterfly,0.010000,1.547187,0.511649,0.560189,0.350914,0.781126,-0.624374,-1.097841,-1.774581,-1.236056,-0.925869,-0.630403,-0.788668,-0.287624,0.083249,-0.219995,0.187101,-0.220021,0.261754
1911036789567798620!,talented-antique-butterfly,0.020000,1.532177,0.487267,0.543334,0.338302,0.772427,-0.635103,-1.907068,-3.096058,-2.133535,-1.592748,-1.111884,-1.352300,-0.205668,0.062712,-0.158395,0.132574,-0.157782,0.192357
1911036789567798620!,talented-antique-butterfly,0.030000,1.510064,0.451396,0.518731,0.320023,0.759443,-0.650574,-2.517485,-4.067278,-2.783961,-2.056468,-1.485884,-1.734538,-0.142133,0.046668,-0.110433,0.090317,-0.109337,0.138478
1911036789567798620!,talented-antique-butterfly,0.040000,1.482566,0.407157,0.488552,0.297899,0.743123,-0.669155,-2.980434,-4.764002,-3.244735,-2.359417,-1.776550,-1.972928,-0.091927,0.033994,-0.072802,0.056975,-0.071344,0.095712
1911036789567798620!,talented-antique-butterfly,0.050000,1.451009,0.357012,0.454513,0.273378,0.724226,-0.689563,-3.327213,-5.244493,-3.554598,-2.535203,-1.999007,-2.099492,-0.051989,0.023943,-0.043287,0.030516,-0.041569,0.061444
1911036789567798620!,talented-antique-butterfly,0.060000,1.416461,0.302906,0.417992,0.247603,0.703388,-0.710806,-3.579323,-5.554980,-3.742365,-2.611293,-2.163810,-2.141229,-0.020330,0.015992,-0.020300,0.009612,-0.018405,0.034009
1911036789567798620!,talented-antique-butterfly,0.070000,1.379801,0.246367,0.380111,0.221470,0.681153,-0.732141,-3.753363,-5.732834,-3.831126,-2.610428,-2.279261,-2.120526,0.004483,0.009750,-0.002622,-0.006703,-0.000619,0.012240
1911036789567798620!,talented-antique-butterfly,0.080000,1.341755,0.188586,0.341780,0.195661,0.657987,-0.753029,-3.863291,-5.808502,-3.840247,-2.551464,-2.352502,-2.055585,0.023591,0.004913,0.010731,-0.019204,0.012790,-0.004772
1911036789567798620!,talented-antique-butterfly,0.090000,1.302907,0.130470,0.303716,0.170682,0.634285,-0.773099,-3.921328,-5.806736,-3.786234,-2.449897,-2.389976,-1.960843,0.037977,0.001226,0.020591,-0.028560,0.022666,-0.017805
1911036789567798620!,talented-antique-butterfly,0.100000,1.263708,0.072694,0.266464,0.146889,0.610372,-0.792115,-3.938212,-5.747460,-3.683082,-2.318280,-2.397547,-1.847455,0.048514,-0.001523,0.027668,-0.035364,0.029732,-0.027550
1911036789567798620!,talented-antique-butterfly,0.110000,1.224509,0.015741,0.230443,0.124521,0.586516,-0.809938,-3.923303,-5.646484,-3.542502,-2.166592,-2.380437,-1.723791,0.055980,-0.003521,0.032569,-0.040141,0.034605,-0.034632
1911036789567798620!,talented-antique-butterfly,0.120000,1.185577,-0.040044,0.195967,0.103732,0.562933,-0.826502,-3.884535,-5.516134,-3.374074,-2.002623,-2.343181,-1.595947,0.061051,-0.004927,0.035805,-0.043347,0.037803,-0.039602
1911036789567798620!,talented-antique-butterfly,0.130000,1.147108,-0.094423,0.163265,0.084610,0.539803,-0.841791,-3.828438,-5.365825,-3.185439,-1.832336,-2.289613,-1.468225,0.064302,-0.005873,0.037796,-0.045366,0.039753,-0.042933
1911036789567798620!,talented-antique-butterfly,0.140000,1.109246,-0.147236,0.132506,0.067193,0.517269,-0.855823,-3.760223,-5.202591,-2.982547,-1.660210,-2.222907,-1.343551,0.066200,-0.006471,0.038879,-0.046510,0.040795,-0.045022
1911036789567798620!,talented-antique-butterfly,0.150000,1.072088,-0.198383,0.103807,0.051481,0.495449,-0.868637,-3.683931,-5.031559,-2.769919,-1.489542,-2.145643,-1.223823,0.067120,-0.006810,0.039319,-0.047027,0.041197,-0.046189
1911036789567798620!,talented-antique-butterfly,0.160000,1.035701,-0.247804,0.077249,0.037448,0.474438,-0.880289,-3.602600,-4.856363,-2.550923,-1.322708,-2.059898,-1.110197,0.067350,-0.006960,0.039315,-0.047105,0.041160,-0.046688
1911036789567798620!,talented-antique-butterfly,0.170000,1.000126,-0.295472,0.052884,0.025048,0.454312,-0.890843,-3.518450,-4.679498,-2.328022,-1.161387,-1.967330,-1.003299,0.067107,-0.006977,0.039017,-0.046887,0.040833,-0.046713
1911036789567798620!,talented-antique-butterfly,0.180000,0.965385,-0.341375,0.030745,0.014221,0.435133,-0.900366,-3.433046,-4.502603,-2.102993,-1.006731,-1.869274,-0.903391,0.066548,-0.006901,0.038531,-0.046474,0.040323,-0.046408
1911036789567798620!,talented-antique-butterfly,0.190000,0.931488,-0.385518,0.010850,0.004899,0.416953,-0.908928,-3.347455,-4.326695,-1.877114,-0.859508,-1.766811,-0.810490,0.065785,-0.006763,0.037933,-0.045939,0.039705,-0.045879
1911036789567798620!,talented-antique-butterfly,0.200000,0.898438,-0.427913,-0.006793,-0.002993,0.399812,-0.916597,-3.262370,-4.152341,-1.651308,-0.720202,-1.660841,-0.724445,0.064894,-0.006584,0.037273,-0.045328,0.039028,-0.045201
1911036789567798620!,talented-antique-butterfly,0.210000,0.866233,-0.468574,-0.022182,-0.009534,0.383744,-0.923440,-3.178222,-3.979803,-1.426261,-0.589096,-1.552106,-0.644992,0.063925,-0.006380,0.036581,-0.044673,0.038324,-0.044426
1911036789567798620!,talented-antique-butterfly,0.220000,0.834866,-0.507517,-0.035326,-0.014804,0.368776,-0.929518,-3.095223,-3.809113,-1.202493,-0.466318,-1.441313,-0.571824,0.062907,-0.006160,0.035877,-0.043991,0.037608,-0.043586
