ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
2237783207975034653!,thoughtful-zippy-butterfly,0.000000,1.430128,1.201192,0.706608,-0.663351,0.269011,-0.421465,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328321,0.281921,-0.197377,-0.516367
2237783207975034653!,thoughtful-zippy-butterfly,0.010000,1.415571,1.204454,0.704947,-0.665042,0.267892,-0.422177,-2.910210,0.643937,-0.331409,-0.336305,-0.223250,-0.141663,0.124609,0.129996,-0.108782,-0.295377
2237783207975034653!,thoughtful-zippy-butterfly,0.020000,1.379148,1.211503,0.700313,-0.669769,0.264824,-0.424109,-4.375157,0.756602,-0.595332,-0.607302,-0.390193,-0.243646,0.029972,0.057737,-0.065559,-0.186099
2237783207975034653!,thoughtful-zippy-butterfly,0.030000,1.331532,1.218412,0.693220,-0.676992,0.260239,-0.426937,-5.144867,0.621350,-0.822673,-0.834228,-0.526087,-0.320676,-0.012834,0.022960,-0.043270,-0.128166
2237783207975034653!,thoughtful-zippy-butterfly,0.040000,1.277957,1.223443,0.683964,-0.686314,0.254392,-0.430447,-5.565571,0.386150,-1.026847,-1.025531,-0.642003,-0.379420,-0.031333,0.005912,-0.030923,-0.094814
2237783207975034653!,thoughtful-zippy-butterfly,0.050000,1.221096,1.225957,0.672740,-0.697401,0.247453,-0.434473,-5.801950,0.122177,-1.214679,-1.185669,-0.743426,-0.423417,-0.038581,-0.002704,-0.023416,-0.073662
2237783207975034653!,thoughtful-zippy-butterfly,0.060000,1.162399,1.225833,0.659692,-0.709958,0.239554,-0.438878,-5.934086,-0.137517,-1.389969,-1.317583,-0.833323,-0.454855,-0.040724,-0.007279,-0.018345,-0.058859
2237783207975034653!,thoughtful-zippy-butterfly,0.070000,1.102714,1.223192,0.644932,-0.723712,0.230800,-0.443544,-6.001974,-0.377940,-1.554965,-1.423580,-0.913448,-0.475315,-0.040639,-0.009882,-0.014570,-0.047609
2237783207975034653!,thoughtful-zippy-butterfly,0.080000,1.042584,1.218263,0.628559,-0.738414,0.221284,-0.448368,-6.026475,-0.592573,-1.711063,-1.505695,-0.984949,-0.486103,-0.039663,-0.011494,-0.011552,-0.038561
2237783207975034653!,thoughtful-zippy-butterfly,0.090000,0.982382,1.211330,0.610666,-0.753823,0.211093,-0.453255,-6.019274,-0.778958,-1.859163,-1.565858,-1.048667,-0.488393,-0.038407,-0.012575,-0.009032,-0.031052
2237783207975034653!,thoughtful-zippy-butterfly,0.100000,0.922386,1.202681,0.591331,-0.769729,0.200303,-0.458125,-5.987578,-0.936589,-1.999891,-1.605895,-1.105276,-0.483252,-0.037144,-0.013348,-0.006883,-0.024739
2237783207975034653!,thoughtful-zippy-butterfly,0.110000,0.862814,1.192604,0.570628,-0.785938,0.188983,-0.462910,-5.936372,-1.065982,-2.133700,-1.627552,-1.155354,-0.471672,-0.035985,-0.013919,-0.005042,-0.019428
2237783207975034653!,thoughtful-zippy-butterfly,0.120000,0.803838,1.181377,0.548624,-0.802273,0.177194,-0.467549,-5.869463,-1.168218,-2.260935,-1.632486,-1.199418,-0.454562,-0.034966,-0.014344,-0.003470,-0.014985
2237783207975034653!,thoughtful-zippy-butterfly,0.130000,0.745594,1.169264,0.525384,-0.818576,0.164996,-0.471992,-5.789957,-1.244700,-2.381865,-1.622243,-1.237936,-0.432750,-0.034091,-0.014655,-0.002139,-0.011308
2237783207975034653!,thoughtful-zippy-butterfly,0.140000,0.688193,1.156516,0.500971,-0.834702,0.152441,-0.476195,-5.700473,-1.297016,-2.496696,-1.598248,-1.271327,-0.406980,-0.033345,-0.014873,-0.001025,-0.008300
2237783207975034653!,thoughtful-zippy-butterfly,0.150000,0.631721,1.143364,0.475443,-0.850521,0.139577,-0.480123,-5.603244,-1.326844,-2.605573,-1.561799,-1.299967,-0.377916,-0.032708,-0.015013,-0.000105,-0.005873
2237783207975034653!,thoughtful-zippy-butterfly,0.160000,0.576244,1.130024,0.448859,-0.865915,0.126452,-0.483746,-5.500160,-1.335896,-2.708586,-1.514060,-1.324178,-0.346142,-0.032157,-0.015088,0.000643,-0.003941
2237783207975034653!,thoughtful-zippy-butterfly,0.170000,0.521812,1.116694,0.421277,-0.880778,0.113106,-0.487039,-5.392806,-1.325868,-2.805759,-1.456076,-1.344239,-0.312175,-0.031666,-0.015108,0.001241,-0.002422
2237783207975034653!,thoughtful-zippy-butterfly,0.180000,0.468460,1.103555,0.392756,-0.895012,0.099580,-0.489983,-5.282488,-1.298419,-2.897050,-1.388777,-1.360378,-0.276471,-0.031209,-0.015080,0.001711,-0.001240
2237783207975034653!,thoughtful-zippy-butterfly,0.190000,0.416212,1.090773,0.363354,-0.908528,0.085912,-0.492564,-5.170257,-1.255151,-2.982349,-1.312996,-1.372775,-0.239437,-0.030762,-0.015010,0.002071,-0.000322
